,temperatureMin,temperatureMax,apparentTemperatureMin,apparentTemperatureMax,temperatureLow,temperatureHigh,time,dewPoint,uvIndex,uvIndexTime,windBearing,cloudCover,icon,windSpeed,humidity,summary
180,62.72,82.86,62.72,82.86,61.84,82.86,1559451600,54.03,13,1559502000,290,0.67,rain,3.83,0.55,"Rain until morning, starting again in the evening."
181,57.08,78.96,57.14,78.96,58.61,78.96,1561957200,56.03,8,1562014800,325,0.58,rain,1.54,0.71,"Possible light rain until morning, starting again in the evening."
182,62.09,86.7,62.09,86.7,60.69,86.7,1562043600,55.07,7,1562094000,263,0.71,rain,4.06,0.6,"Possible light rain until morning, starting again in the evening."
183,60.07,81.88,60.37,81.88,61.63,81.88,1562130000,57.87,8,1562173200,51,0.64,rain,2.37,0.68,Possible light rain in the evening and overnight.
184,57.18,76.63,57.3,76.63,58.75,76.63,1562130000,57.65,8,1562173200,66,0.64,rain,2.35,0.78,Possible light rain in the evening and overnight.
185,56.32,77.01,56.36,77.01,58.18,77.01,1562130000,57.51,8,1562173200,24,0.64,rain,2.15,0.79,Possible light rain in the evening.
186,57.22,83.43,57.99,83.5,57.2,83.43,1564722000,61.36,7,1564772400,263,0.77,partly-cloudy-day,2.5,0.8,Mostly cloudy throughout the day.
187,57.27,83.48,58.06,83.52,57.25,83.48,1564722000,61.42,7,1564772400,265,0.76,partly-cloudy-day,2.42,0.8,Mostly cloudy throughout the day.
188,57.27,83.49,58.06,83.52,57.25,83.49,1564722000,61.43,7,1564772400,265,0.76,partly-cloudy-day,2.42,0.8,Mostly cloudy throughout the day.
189,57.19,83.41,57.96,83.48,57.18,83.41,1564808400,61.35,7,1564858800,263,0.77,partly-cloudy-day,2.5,0.8,Mostly cloudy throughout the day.
190,57.22,83.44,58.0,83.49,57.21,83.44,1564808400,61.38,7,1564858800,264,0.76,partly-cloudy-day,2.45,0.8,Mostly cloudy throughout the day.
191,57.2,83.41,57.97,83.48,57.18,83.41,1564808400,61.35,7,1564858800,264,0.77,partly-cloudy-day,2.49,0.8,Mostly cloudy throughout the day.
192,57.53,83.75,58.12,83.75,57.55,83.75,1567400400,60.43,7,1567450800,271,0.71,partly-cloudy-day,2.37,0.77,Mostly cloudy throughout the day.
193,57.47,83.7,58.02,83.7,57.49,83.7,1567486800,60.24,7,1567537200,269,0.71,partly-cloudy-day,2.5,0.76,Mostly cloudy throughout the day.
194,57.48,83.7,58.02,83.7,57.49,83.7,1567486800,60.24,7,1567537200,269,0.71,partly-cloudy-day,2.5,0.76,Mostly cloudy throughout the day.
195,57.01,83.13,57.13,83.13,56.93,83.13,1569992400,57.85,7,1570042800,274,0.54,partly-cloudy-day,2.49,0.71,Mostly cloudy throughout the day.
196,56.99,83.11,57.11,83.11,56.91,83.11,1570078800,57.8,7,1570129200,275,0.53,partly-cloudy-day,2.45,0.71,Mostly cloudy throughout the day.
197,53.2,79.31,53.2,79.31,53.03,79.31,1572588000,52.45,7,1572634800,278,0.37,partly-cloudy-day,2.16,0.67,Partly cloudy throughout the day.
198,52.85,78.97,52.85,78.97,52.68,78.97,1572674400,52.02,7,1572721200,274,0.36,partly-cloudy-day,2.19,0.67,Partly cloudy throughout the day.
199,53.06,79.17,53.06,79.17,52.89,79.17,1572674400,52.25,7,1572721200,279,0.36,partly-cloudy-day,2.14,0.67,Partly cloudy throughout the day.
200,53.02,79.13,53.02,79.13,52.85,79.13,1572674400,52.21,7,1572721200,278,0.36,partly-cloudy-day,2.15,0.67,Partly cloudy throughout the day.
201,52.7,78.81,52.7,78.81,52.53,78.81,1572760800,51.81,7,1572807600,275,0.36,partly-cloudy-day,2.17,0.67,Partly cloudy throughout the day.
202,48.3,74.41,48.3,74.41,48.18,74.41,1575180000,45.61,6,1575226800,102,0.3,partly-cloudy-day,1.97,0.62,Partly cloudy throughout the day.
203,48.35,74.45,48.35,74.45,48.23,74.45,1575266400,45.68,6,1575313200,98,0.3,partly-cloudy-day,1.92,0.62,Partly cloudy throughout the day.
204,47.95,74.06,47.95,74.06,47.83,74.06,1575352800,45.08,6,1575399600,105,0.3,partly-cloudy-day,2.01,0.62,Partly cloudy throughout the day.
