Ciudad,Fecha y fuente,País,Población según Citypopulation (2015),Población según Citypopulation (2016),Población según Citypopulation[1]​,Población según Demographia (2015),Población según Demographia[2]​,Población según ONU (2015),Población según ONU[3]​,Población según último censo,Población según último censo oficial,Posición
Wenzhou (incluyendo Rui'an),2010,China,5.800.000,,,4.303.000,,3.208.000,,3.614.208,,41
Qingdao,2010,China,5.650.000,,,5.816.000,,4.566.000,,3.990.942,,42
Surat,2011,India,5.600.000,,,5.447.000,,5.650.000,,4.591.246,,43
Harbin,2010,China,5.100.000,,,4.815.000,,5.457.000,,4.596.313,,44
Rangún,2014,Birmania,5.100.000,,,4.800.000,,4.802.000,,4.728.524,,45
Kitakyushu - Fukuoka,2010,Japón,4.725.000,,,4.505.000,,5.510.000,,2.440.589,,46
Surabaya,2010,Indonesia,4.675.000,,,4.881.000,,2.853.000,,2.765.487,,47
Colombo,2012,Sri Lanka,4.650.000,,,2.180.000,,707.000,,561.314,,48
Ankara,2000,Turquía,4.625.000,,,4.538.000,,4.750.000,,3.203.362,,49
Zhengzhou,2010,China,4.600.000,,,4.942.000,,4.387.000,,3.677.032,,50
Teherán (incluyendo Karaj),2011.0,Irán,13.600.000,,,13.532.000,,10.239.000[n 2]​,,9.768.677[n 4]​,,1
Bagdad,1987.0,Irak,6.750.000,,,6.625.000,,6.643.000,,3.841.268,,2
Riad,2010.0,Arabia Saudita,6.550.000,,,5.666.000,,6.370.000,,5.188.286,,3
Ankara,2000.0,Turquía,4.625.000,,,4.538.000,,4.750.000,,3.203.362,,4
Yida,2010.0,Arabia Saudita,4.175.000,,,3.677.000,,4.076.000,,3.430.697,,5
Kuwait,,Kuwait,4.075.000,,,4.283.000,,2.779.000,,,,6
Dubái (incluyendo Sarja),1995.0,Emiratos Árabes Unidos,3.800.000,,,3.933.000,,3.694.000[n 2]​,,989.276[n 4]​,,7
Damasco,2004.0,Siria,3.650.000,,,2.560.000,,2.566.000,,1.414.913,,8
Kabul,1979.0,Afganistán,3.600.000,,,4.635.000,,4.635.000,,913.164,,9
Amán,2004.0,Jordania,3.325.000,,,2.468.000,,1.155.000,,1.036.330,,10
Alepo,2004.0,Siria,3.050.000,,,3.560.000,,3.562.000,,2.132.100,,11
Mashhad,2011.0,Irán,3.050.000,,,3.294.000,,3.014.000,,2.749.374,,12
Esmirna,2000.0,Turquía,2.925.000,,,3.112.000,,3.040.000,,2.232.265,,13
Isfahán,2011.0,Irán,2.725.000,,,2.392.000,,1.880.000,,1.756.126,,14
Taskent,1989.0,Uzbekistán,2.625.000,,,2.250.000,,2.251.000,,2.072.459,,15
Tel Aviv,1995.0,Israel,2.475.000,,,2.979.000,,3.608.000,,348.245,,16
Saná,2004.0,Yemen,2.425.000,,,2.980.000,,2.962.000,,1.707.531,,17
Bakú,1989.0,Azerbaiyán,2.425.000,,,2.661.000,,2.374.000,,1.150.055,,18
Dammam,2010.0,Arabia Saudita,2.350.000,,,1.019.000,,1.064.000,,903.312,,19
Bursa,2000.0,Turquía,1.930.000,,,1.839.000,,1.923.000,,1.194.687,,20
La Meca,2010.0,Arabia Saudita,1.840.000,,,1.647.000,,1.771.000,,1.534.731,,21
Franja de Gaza,2007.0,Palestina,1.760.000,,,620.000,,624.000,,483.869,,22
Almaty,1999.0,Kazajistán,1.750.000,,,1.500.000,,1.523.000,,1.365.632,,23
Mosul,1987.0,Irak,1.680.000,,,1.675.000,,1.694.000,,664.221,,24
Shiraz,2011.0,Irán,1.680.000,,,1.873.000,,1.661.000,,1.460.665,,25
Adana,2000.0,Turquía,1.670.000,,,1.830.000,,1.830.000,,1.130.710,,26
Novosibirsk [n 5]​,2010.0,Rusia,1.640.000,,,1.486.000,,1.497.000,,,,27
Beirut,1970.0,Líbano,1.630.000,,,2.200.000,,2.226.000,,474.870,,28
Tabriz,2011.0,Irán,1.610.000,,,1.693.000,,1.572.000,,1.494.998,,29
Ekaterimburgo [n 5]​,2010.0,Rusia,1.590.000,,,1.361.000,,1.379.000,,1.473.754,,30
Gaziantep,2000.0,Turquía,1.530.000,,,1.394.000,,1.528.000,,853.513,,31
Ereván,2011.0,Armenia,1.480.000,,,1.274.000,,1.044.000,,1.060.138,,32
Cheliábinsk [n 5]​,2010.0,Rusia,1.390.000,,,1.150.000,,1.157.000,,1.130.132,,33
Basora,1987.0,Irak,1.390.000,,,1.000.000,,1.019.000,,406.296,,34
Medina,2010.0,Arabia Saudita,1.320.000,,,1.233.000,,1.280.000,,1.100.093,,35
Ahvaz,2011.0,Irán,1.240.000,,,1.315.000,,1.060.000,,1.112.021,,36
Tiflis,2002.0,Georgia,1.230.000,,,1.125.000,,1.147.000,,1.073.345,,37
Konya,2000.0,Turquía,1.190.000,,,1.190.000,,1.194.000,,742.690,,38
Omsk [n 5]​,2010.0,Rusia,1.180.000,,,1.154.000,,1.162.000,,1.154.116,,39
Qom,2011.0,Irán,1.160.000,,,1.101.000,,1.204.000,,1.074.036,,40
Erbil,1987.0,Irak,1.150.000,,,1.150.000,,1.166.000,,485.968,,41
Antalya,2000.0,Turquía,1.140.000,,,1.070.000,,1.072.000,,603.190,,42
Asjabad,1989.0,Turkmenistán,1.140.000,,,740.000,,746.000,,401.135,,43
Abu Dabi,1995.0,Emiratos Árabes Unidos,1.120.000,,,982.000,,1.145.000,,398.695,,44
Kirkuk,1987.0,Irak,1.110.000,,,650.000,,650.000,,418.624,,45
Krasnoyarsk [n 5]​,2010.0,Rusia,1.080.000,,,998.000,,1.008.000,,973.826,,46
Kayseri,2000.0,Turquía,1.050.000,,,900.000,,904.000,,536.392,,47
Homs,2004.0,Siria,---,,,1.640.000,,1.641.000,,652.609,,48
Hama,2004.0,Siria,---,,,1.230.000,,1.237.000,,312.994,,49
Haifa,1995.0,Israel,---,,,1.090.000,,1.097.000,,255.914,,50
Solimania,1987.0,Irak,---,,,1.000.000,,1.004.000,,364.096,,51
Diyarbakir,2000.0,Turquía,---,,,920.000,,926.000,,545.983,,52
Nayaf,2000.0,Irak,---,,,880.000,,889.000,,309.010,,53
Adén,2004.0,Yemen,---,,,880.000,,882.000,,588.938,,54
Biskek,2009.0,Kirguistán,---,,,850.000,,865.000,,821.915,,55
Delhi,2011.0,India,26.000.000,,,24.998.000,,25.703.000,,16.349.831,,1
Karachi,2011.0,Pakistán,24.000.000,,,22.123.000,,16.618.000,,21.142.625,,2
Bombay (incluyendo Kalyan y Vasai-Virar),2011.0,India,23.000.000,,,21.732.000 [n 3]​,,21.043.000,,19.617.302[n 4]​,,3
Daca,2011.0,Bangladés,17.300.000,,,15.669.000,,17.598.000,,14.543.124,,4
Calcuta,2011.0,India,15.900.000,,,14.667.000,,14.865.000,,14.057.991,,5
Bangalore,2011.0,India,10.300.000,,,9.807.000,,10.087.000,,8.520.435,,6
Lahore,1998.0,Pakistán,9.950.000,,,10.052.000,,8.741.000,,5.143.495,,7
Madrás,2011.0,India,9.900.000,,,9.714.000,,9.890.000,,8.653.521,,8
Hyderabad,2011.0,India,8.900.000,,,8.754.000,,8.942.000,,7.677.018,,9
Ahmedabad,2011.0,India,7.350.000,,,7.186.000,,7.343.000,,6.357.693,,10
Pune,2011.0,India,6.000.000,,,5.631.000,,5.728.000,,5.057.709,,11
Surat,2011.0,India,5.600.000,,,5.447.000,,5.650.000,,4.591.246,,12
Colombo,2012.0,Sri Lanka,4.650.000,,,2.180.000,,707.000,,561.314[n 1]​,,13
Chittagong,2011.0,Bangladés,4.475.000,,,3.176.000,,4.539.000,,4.009.423,,14
Faisalabad,1998.0,Pakistán,3.900.000,,,3.560.000,,3.567.000,,2.008.861,,15
Rawalpindi (incluyendo Islamabad),1998.0,Pakistán,3.800.000,,,2.510.000,,3.871.000[n 2]​,,1.938.948[n 4]​,,16
Jaipur,2011.0,India,3.475.000,,,3.409.000,,3.461.000,,3.046.163,,17
Lucknow,2011.0,India,3.300.000,,,3.184.000,,3.222.000,,2.902.920,,18
Kanpur,,India,3.275.000,,,3.037.000,,3.021.000,,2011,,19
Nagpur,2011.0,India,3.000.000,,,2.668.000,,2.675.000,,2.497.870,,20
Katmandú,2011.0,Nepal,2.875.000,,,1.180.000,,1.183.000,,1.003.285,,21
Indore,2011.0,India,2.725.000,,,2.405.000,,2.441.000,,2.170.295,,22
Bhilai (incluyendo Raipur),2011.0,India,2.500.000,,,2.564.000[n 3]​,,2.503.000[n 2]​,,2.187.780[n 4]​,,23
Patna,2011.0,India,2.450.000,,,2.200.000,,2.210.000,,2.049.156,,24
Coimbatore,2011.0,India,2.425.000,,,2.481.000,,2.549.000,,2.136.916,,25
Gujranwala,1998.0,Pakistán,2.400.000,,,2.120.000,,2.122.000,,1.132.509,,26
Hyderabad,1998.0,Pakistán,2.400.000,,,2.920.000,,1.772.000,,1.166.894,,27
Bhopal,2011.0,India,2.150.000,,,2.075.000,,2.102.000,,1.886.100,,28
Multan,1998.0,Pakistán,2.125.000,,,1.900.000,,1.921.000,,1.197.384,,29
Vadodara,2011.0,India,2.025.000,,,1.963.000,,1.975.000,,1.822.221,,30
Agra,2011.0,India,2.025.000,,,1.938.000,,1.966.000,,1.760.285,,31
Chandigarh,2011.0,India,2.000.000,,,1.124.000,,1.134.000,,1.026.459,,32
Visakhapatnam,2011.0,India,1.950.000,,,1.910.000,,1.935.000,,1.728.128,,33
Peshawar,1998.0,Pakistán,1.870.000,,,1.730.000,,1.736.000,,982.816,,34
Ludhiāna,2011.0,India,1.830.000,,,1.714.000,,1.716.000,,1.618.879,,35
Nashik,2011.0,India,1.810.000,,,1.749.000,,1.779.000,,1.561.809,,36
Benarés,2011.0,India,1.770.000,,,1.536.000,,1.541.000,,1.432.280,,37
Vijayawada,2011.0,India,1.740.000,,,1.715.000,,1.760.000,,1.476.931,,38
Bhubaneswar,2011.0,India,1.720.000,,,984.000,,999.000,,885.363,,39
Rajkot,2011.0,India,1.620.000,,,1.568.000,,1.599.000,,1.390.640,,40
Madurai,2011.0,India,1.620.000,,,1.582.000,,1.593.000,,1.465.625,,41
Meerut,2011.0,India,1.580.000,,,1.541.000,,1.550.000,,1.420.902,,42
Aurangabad,2011.0,India,1.570.000,,,1.324.000,,1.344.000,,1.193.167,,43
Cochín,2011.0,India,1.530.000,,,2.374.000,,2.416.000,,2.119.742,,44
Jamshedpur,2011.0,India,1.530.000,,,1.443.000,,1.451.000,,1.339.438,,45
Kolhapur,2011.0,India,1.520.000,,,593.000,,591.000,,561.837,,46
Asansol,2011.0,India,1.490.000,,,1.315.000,,1.313.000,,1.243.414,,47
Srinagar,2011.0,India,1.430.000,,,1.409.000,,1.429.000,,1.264.202,,48
Jabalpur,2011.0,India,1.380.000,,,1.339.000,,1.367.000,,1.268.848,,49
Allahabad,2011.0,India,1.360.000,,,1.294.000,,1.295.000,,1.212.395,,50
Jodhpur,2011.0,India,1.300.000,,,1.266.000,,1.284.000,,1.138.300,,51
Amritsar,2011.0,India,1.300.000,,,1.264.000,,1.265.000,,1.183.549,,52
Dhanbad,2011.0,India,1.290.000,,,1.258.000,,1.255.000,,1.196.214,,53
Ranchi,2011.0,India,1.270.000,,,1.246.000,,1.262.000,,1.120.374,,54
Tirupur,2011.0,India,1.260.000,,,1.177.000,,1.230.000,,963.173,,55
Gwalior,2011.0,India,1.260.000,,,1.208.000,,1.221.000,,1.117.740,,56
Kotah,2011.0,India,1.180.000,,,1.138.000,,1.163.000,,1.001.964,,57
Quetta,1998.0,Pakistán,1.160.000,,,1.100.000,,1.109.000,,565.137,,58
Bareilly,2011.0,India,1.150.000,,,1.094.000,,1.111.000,,985.752,,59
Thiruvananthapuram,2011.0,India,1.120.000,,,1.921.000,,1.965.000,,1.679.754,,60
Tiruchirappalli,2011.0,India,1.120.000,,,1.101.000,,1.106.000,,1.022.518,,61
Mysore,2011.0,India,1.110.000,,,1.078.000,,1.082.000,,990.900,,62
Aligarh,2011.0,India,1.080.000,,,1.020.000,,1.037.000,,911.223,,63
Moradabad,2011.0,India,1.080.000,,,1.004.000,,1.023.000,,887.871,,64
Khulna,2011.0,Bangladés,1.070.000,,,1.000.000,,1.022.000,,1.046.341,,65
Guwahati,2011.0,India,1.050.000,,,1.039.000,,1.042.000,,962.334,,66
Hubli - Dharwad,2011.0,India,1.040.000,,,613.000,,1.020.000,,943.788,,67
Solapur,2011.0,India,1.030.000,,,991.000,,986.000,,951.558,,68
Salem,2011.0,India,1.020.000,,,996.000,,1.003.000,,917.414,,69
Jalandhar,2011.0,India,1.020.000,,,948.000,,954.000,,874.412,,70
Kozhikode,2011.0,India,---,,,2.394.000,,2.476.000,,2.028.399,,71
Thrissur,2011.0,India,---,,,2.236.000,,2.329.000,,1.861.269,,72
Malappuram,2011.0,India,---,,,2.108.000,,2.216.000,,1.699.060,,73
Cananor,2011.0,India,---,,,2.047.000,,2.153.000,,1.640.986,,74
Kollam,2011.0,India,---,,,1.351.000,,1.410.000,,1.110.668,,75
"Cantón (incluyendo Dongguan, Foshan, Jiangmen, Shenzhen y Zhongshan)",2010.0,China,46.900.000,,,45.553.000[n 3]​,,42.941.000[n 2]​,,39.264.086 [n 4]​,,1
Tokio,2010.0,Japón,39.500.000,,,37.843.000,,38.001.000,,8.945.695[n 1]​,,2
Shanghái (incluyendo Suzhou y Kunshan),2010.0,China,30.400.000,,,30.477.000[n 3]​,,29.213.000[n 2]​,,25.420.288 [n 4]​,,3
Seúl (incluyendo Incheon y Suwon),2010.0,Corea del Sur,24.300.000,,,23.480.000,,13.558.000[n 2]​,,23.836.272,,4
Pekín,2010.0,China,20.700.000,,,21.009.000,,20.384.000,,16.446.857,,5
Osaka,2010.0,Japón,17.800.000,,,17.444.000,,20.238.000,,2.665.314[n 1]​,,6
Tianjin,2010.0,China,11.200.000,,,10.920.000,,11.210.000,,9.290.263,,7
Nagoya,2010.0,Japón,10.400.000,,,10.177.000,,9.406.000,,2.263.894[n 1]​,,8
Xiamen (incluyendo Quanzhou),2010.0,China,9.850.000,,,11.130.000[n 3]​,,5.825.000[n 2]​,,4.273.841 [n 4]​,,9
Chengdu,2010.0,China,9.400.000,,,10.376.000,,7.556.000,,6.316.922,,10
Taipéi,,Taiwán,9.000.000,,,7.438.000,,2.666.000,,,,11
Hangzhou (incluyendo Shaoxing),2010.0,China,8.150.000,,,9.625.000[n 3]​,,8.467.000[n 2]​,,6.887.819,,12
Wuhan,2010.0,China,7.950.000,,,7.509.000,,7.906.000,,7.541.527,,13
"Shantou (incluyendo Chaozhou, Puning, Chaoyang y Chaonan)",2010.0,China,7.850.000,,,6.337.000[n 3]​,,6.287.000[n 2]​,,5.775.239 [n 4]​,,14
Shenyang (incluyendo Fushun),2010.0,China,7.600.000,,,7.402.000[n 3]​,,7.613.000[n 2]​,,7.037.040,,15
Hong Kong,2011.0,Hong Kong,7.200.000,,,7.246.000,,7.314.000,,7.071.576,,16
Chongqing,2010.0,China,6.950.000,,,7.217.000,,13.332.000,,6.263.790,,17
Nankín,2010.0,China,6.750.000,,,6.155.000,,7.369.000,,5.827.888,,18
Xi'an,2010.0,China,6.550.000,,,5.977.000,,6.044.000,,5.206.253,,19
Wenzhou (incluyendo Rui'an),2010.0,China,5.800.000,,,4.303.000[n 3]​,,3.208.000,,3.614.208 [n 4]​,,20
Qingdao,2010.0,China,5.650.000,,,5.816.000,,4.566.000,,3.990.942,,21
Harbin,2010.0,China,5.100.000,,,4.815.000,,5.457.000,,4.596.313,,22
Kitakyushu - Fukuoka,2010.0,Japón,4.725.000[n 6]​,,,4.505.000[n 3]​,,5.510.000,,2.440.589 [n 4]​,,23
Zhengzhou,2010.0,China,4.600.000,,,4.942.000,,4.387.000,,3.677.032,,24
Hefei,2010.0,China,4.475.000,,,3.665.000,,3.348.000,,3.098.727,,25
Dalian,2010.0,China,4.425.000,,,4.183.000,,4.489.000,,3.902.467,,26
Changsha,2010.0,China,4.375.000,,,3.657.000,,3.761.000,,3.193.354,,27
Busán,2010.0,Corea del Sur,4.250.000,,,3.906.000,,3.216.000,,3.414.950,,28
Taiyuan,2010.0,China,4.150.000,,,3.702.000,,3.482.000,,3.154.157,,29
Kunming,2010.0,China,3.925.000,,,3.649.000,,3.780.000,,3.278.777,,30
Jinan,2010.0,China,3.900.000,,,3.789.000,,4.032.000,,3.527.566,,31
Fuzhou,2010.0,China,3.875.000,,,3.962.000,,3.283.000,,2.824.414,,32
Shijiazhuang,2010.0,China,3.775.000,,,3.367.000,,3.264.000,,2.770.344,,33
Changchun,2010.0,China,3.675.000,,,3.368.000,,3.762.000,,3.411.209,,34
Nanchang,2010.0,China,3.600.000,,,2.637.000,,2.527.000,,2.223.661,,35
Ürümqi,2010.0,China,3.550.000,,,3.184.000,,3.499.000,,2.853.398,,36
Ningbo,2010.0,China,3.300.000,,,3.753.000,,3.132.000,,2.580.073,,37
Zibo,2010.0,China,3.300.000,,,1.646.000,,2.430.000,,2.261.717,,38
Wuxi,2010.0,China,3.225.000,,,3.597.000,,3.049.000,,2.757.736,,39
Nanning,2010.0,China,3.150.000,,,2.590.000,,3.234.000,,2.660.833,,40
Guiyang,2010.0,China,2.850.000,,,2.955.000,,2.871.000,,2.520.061,,41
Lanzhou,2010.0,China,2.825.000,,,2.703.000,,2.723.000,,2.438.595,,42
Pionyang,2008.0,Corea del Norte,2.800.000,,,2.850.000,,2.863.000,,2.581.076,,43
Kaohsiung,,Taiwán,2.775.000,,,2.599.000,,1.523.000,,,,44
Huizhou,2010.0,China,2.750.000,,,1.763.000,,2.312.000,,1.807.858,,45
Daegu,2010.0,Corea del Sur,2.750.000,,,2.382.000,,2.244.000,,2.446.418,,46
Changzhou,2010.0,China,2.625.000,,,3.425.000,,2.584.000,,2.257.376,,47
Jiangyin,2010.0,China,2.625.000,,,3.056.000,,686.000,,1.013.670,,48
Xuzhou,2010.0,China,2.525.000,,,1.301.000,,1.918.000,,2.214.795,,49
Anshan,2010.0,China,2.500.000,,,1.516.000,,1.559.000,,1.504.996,,50
Sapporo,2010.0,Japón,2.475.000,,,2.570.000,,2.571.000,,1.913.545[n 1]​,,51
Shizuoka - Hamamatsu,2010.0,Japón,2.470.000[n 6]​,,,2.018.000[n 3]​,,3.369.000,,1.517.063 [n 4]​,,52
Tangshan,2010.0,China,2.425.000,,,2.378.000,,2.743.000,,2.128.191,,53
Taichung,,Taiwán,2.350.000,,,2.935.000,,1.225.000,,,,54
Okayama,2010.0,Japón,2.200.000,,,707.000,,502.000,,709.584[n 1]​,,55
Baotou,2010.0,China,2.125.000,,,2.159.000,,1.957.000,,1.900.373,,56
Yantai,2010.0,China,2.075.000,,,1.520.000,,2.114.000,,1.797.871,,57
Taizhou (incluyendo Wenling),2010.0,China,2.050.000,,,2.835.000[n 3]​,,1.648.000,,1.938.289 [n 4]​,,58
Cixi,2010.0,China,2.050.000,,,1.490.000,,1.303.000,,1.059.942,,59
Luoyang,2010.0,China,1.940.000,,,1.939.000,,2.015.000,,1.584.463,,60
Nantong,2010.0,China,1.910.000,,,1.184.000,,1.978.000,,1.612.385,,61
Liuzhou,2010.0,China,1.890.000,,,1.574.000,,1.619.000,,1.410.712,,62
Hiroshima,2010.0,Japón,1.870.000,,,1.377.000,,2.173.000,,1.173.843 [n 1]​,,63
Huai'an,2010.0,China,1.840.000,,,2.282.000,,2.000.000,,1.523.655,,64
Haikou,2010.0,China,1.770.000,,,1.981.000,,1.903.000,,1.517.410,,65
Yangzhou,2010.0,China,1.760.000,,,1.561.000,,1.765.000,,1.077.531,,66
Hohhot,2010.0,China,1.750.000,,,2.219.000,,1.785.000,,1.497.110,,67
Huainan,2010.0,China,1.740.000,,,1.142.000,,1.327.000,,1.238.488,,68
Linyi,2010.0,China,1.700.000,,,2.465.000,,1.706.000,,1.522.488,,69
Hengyang,2010.0,China,1.680.000,,,987.000,,1.301.000,,1.115.645,,70
Daejeon,2010.0,Corea del Sur,1.600.000,,,1.564.000,,1.564.000,,1.501.859,,71
Weifang (incluyendo Zhucheng),2010.0,China,1.590.000,,,2.636.000[n 3]​,,2.195.000,,1.848.234 [n 4]​,,72
Baoding,2010.0,China,1.590.000,,,1.297.000,,1.106.000,,1.038.195,,73
Gwangju,2010.0,Corea del Sur,1.580.000,,,1.601.000,,1.536.000,,1.475.745,,74
Daqing,2010.0,China,1.550.000,,,983.000,,1.621.000,,1.433.698,,75
Xiangyang,2010.0,China,1.550.000,,,1.183.000,,1.533.000,,1.433.057,,76
Yiwu,2010.0,China,1.550.000,,,1.704.000,,1.080.000,,878.973,,77
Zhuhai,2010.0,China,1.540.000,,,1.547.000,,1.542.000,,1.369.538,,78
Datong,2010.0,China,1.510.000,,,1.709.000,,1.532.000,,1.362.314,,79
Yinchuan,2010.0,China,1.500.000,,,1.614.000,,1.596.000,,1.159.457,,80
Jilin,2010.0,China,1.500.000,,,1.633.000,,1.520.000,,1.469.722,,81
Sendai,2010.0,Japón,1.480.000,,,1.277.000,,2.091.000,,1.045.986 [n 1]​,,82
Jiaozuo,2010.0,China,1.350.000,,,809.000,,732.000,,702.527,,83
Handan,2010.0,China,1.340.000,,,2.000.000,,1.634.000,,919.295,,84
Putian,2010.0,China,1.340.000,,,1.468.000,,1.438.000,,1.107.199,,85
Xiangtan,2010.0,China,1.320.000,,,1.007.000,,1.010.000,,903.287,,86
Xining,2010.0,China,1.310.000,,,1.345.000,,1.323.000,,1.153.417,,87
Huaibei,2010.0,China,1.300.000,,,1.116.000,,981.000,,854.696,,88
Tainan,,Taiwán,1.300.000,,,1.216.000,,815.000,,,,89
Xinxiang,2010.0,China,1.290.000,,,1.074.000,,991.000,,918.078,,90
Wuhu,2010.0,China,1.280.000,,,1.456.000,,1.424.000,,1.108.087,,91
Ulán Bator,2010.0,Mongolia,1.280.000,,,1.237.000,,1.377.000,,1.144.954,,92
Xingtai,2010.0,China,1.280.000,,,749.000,,742.000,,668.765,,93
Yancheng,2010.0,China,1.240.000,,,935.000,,1.436.000,,1.136.826,,94
Taian,2010.0,China,1.220.000,,,817.000,,1.220.000,,1.123.541,,95
Guilin,2010.0,China,1.190.000,,,949.000,,1.040.000,,963.629,,96
Zhangjiakou,2010.0,China,1.180.000,,,1.156.000,,983.000,,924.628,,97
Naha,2010.0,Japón,1.180.000,,,1.007.000,,321.000,,315.954 [n 1]​,,98
Mianyang,2010.0,China,1.160.000,,,585.000,,1.065.000,,967.006,,99
Zhanjiang,2010.0,China,1.150.000,,,1.042.000,,1.149.000,,1.038.762,,100
Bengbu,2010.0,China,1.150.000,,,961.000,,842.000,,793.866,,101
Kumamoto,2010.0,Japón,1.150.000,,,697.000,,601.000,,734.474 [n 1]​,,102
Yichang,2010.0,China,1.140.000,,,1.039.000,,1.264.000,,1.049.363,,103
Qingyuan,2010.0,China,1.130.000,,,588.000,,694.000,,916.453,,104
Ulsan,2010.0,Corea del Sur,1.120.000,,,900.000,,904.000,,1.082.567,,105
Zunyi,2010.0,China,1.120.000,,,108.000,,803.000,,715.148,,106
Maanshan,2010.0,China,1.110.000,,,827.000,,858.000,,657.847,,107
Qinhuangdao,2010.0,China,1.100.000,,,1.041.000,,1.109.000,,967.877,,108
Changshu,2010.0,China,1.100.000,,,1.344.000,,726.000,,929.124,,109
Changwon,2010.0,Corea del Sur,1.090.000,,,990.000,,1.039.000,,1.058.021,,110
Cangnan,2010.0,China,1.090.000,,,823.000,,---,,648.219,,111
Zhuzhou,2010.0,China,1.080.000,,,1.007.000,,1.083.000,,999.404,,112
Maoming,2010.0,China,1.080.000,,,619.000,,609.000,,1.033.196,,113
Benxi,2010.0,China,1.070.000,,,888.000,,1.070.000,,1.000.128,,114
Qiqihar,2010.0,China,1.060.000,,,1.241.000,,1.452.000,,1.314.720,,115
Lianyungang,2010.0,China,1.060.000,,,1.128.000,,1.099.000,,897.393,,116
Zhenjiang,2010.0,China,1.050.000,,,969.000,,1.050.000,,950.516,,117
Kaifeng,2010.0,China,1.040.000,,,633.000,,804.000,,725.573,,118
Rizhao,2010.0,China,1.040.000,,,937.000,,1.062.000,,902.272,,119
Nanchong,2010.0,China,1.030.000,,,692.000,,1.050.000,,890.402,,120
Jinzhou,2010.0,China,1.030.000,,,922.000,,1.035.000,,946.098,,121
Chifeng,2010.0,China,1.020.000,,,1.230.000,,1.018.000,,902.285,,122
Fuji,2010.0,Japón,1.010.000,,,718.000,,---,,254.027 [n 1]​,,123
Nanyang,2010.0,China,1.000.000,,,731.000,,1.011.000,,899.899,,124
Wanzhou,2010.0,China,1.000.000,,,582.000,,---,,849.662,,125
Jining,2010.0,China,---,,,623.000,,1.385.000,,939.034,,126
Taizhou,2010.0,China,---,,,562.000,,1.184.000,,676.877,,127
Anyang,2010.0,China,---,,,1.401.000,,1.140.000,,908.129,,128
Suqian,2010.0,China,---,,,539.000,,1.050.000,,783.376,,129
Yongin,2010.0,Corea del Sur,---,,,---,,1.048.000,,856.765,,130
Zaozhuang (incluyendo Tengzhou),2010.0,China,---,,,1.481.000[n 3]​,,1.028.000,,1.764.366 [n 4]​,,131
Yingkou,2010.0,China,---,,,708.000,,1.026.000,,880.412,,132
Baoji,2010.0,China,---,,,933.000,,1.001.000,,871.940,,133
Zhangzhou,2010.0,China,---,,,1.410.000,,---,,614.700,,134
Weihai,2010.0,China,---,,,1.208.000,,---,,698.863,,135
Dongying,2010.0,China,---,,,1.206.000,,---,,848.958,,136
Jiaxing,2010.0,China,---,,,1.192.000,,---,,762.643,,137
Jiamusi,2010.0,China,---,,,1.089.000,,---,,631.357,,138
Fuzhou,2010.0,China,---,,,1.052.000,,---,,482.940,,139
Huzhou,2010.0,China,---,,,1.021.000,,---,,748.471,,140
Yakarta (incluyendo Bogor),2010,Indonesia,27.700.000,,,30.539.000,,11.399.000 [n 2]​,,10.558.121 [n 4]​,,1
Manila,2010,Filipinas,23.100.000,,,24.123.000,,12.946.000,,1.652.171 [n 1]​,,2
Bangkok (incluyendo Samut Prakan),2010,Tailandia,16.700.000,,,14.998.000,,11.084.000,,8.986.218 [n 4]​,,3
Ciudad Ho Chi Minh,2009,Vietnam,8.150.000,,,8.957.000,,7.298.000,,5.880.615,,4
Kuala Lumpur,2000,Malasia,6.950.000,,,7.088.000,,6.837.000,,1.305.792 [n 1]​,,5
Singapur - Johor Bahru,2010 2000,Singapur Malasia,6.900.000,,,7.312.000 [n 3]​,,6.531.000 [n 2]​,,5.719.644 [n 4]​,,6
Bandung,2010,Indonesia,5.900.000,,,5.695.000,,2.544.000,,2.394.873 [n 1]​,,7
Rangún,2014,Birmania,5.100.000,,,4.800.000,,4.802.000,,4.728.524,,8
Surabaya,2010,Indonesia,4.675.000,,,4.881.000,,2.853.000,,2.765.487 [n 1]​,,9
Medan,2010,Indonesia,3.400.000,,,3.942.000,,2.204.000,,2.097.610 [n 1]​,,10
Hanói,2009,Vietnam,2.925.000,,,3.715.000,,3.629.000,,2.316.772,,11
Cebú,2010,Filipinas,2.250.000,,,2.535.000,,951.000,,866.171 [n 1]​,,12
Semarang,2010,Indonesia,2.025.000,,,1.630.000,,1.630.000,,1.520.481,,13
Nom Pen,2008,Camboya,1.830.000,,,1.729.000,,1.731.000,,1.416.582,,14
Makasar,2010,Indonesia,1.760.000,,,1.484.000,,1.489.000,,1.331.391,,15
Palembang,2010,Indonesia,1.680.000,,,1.434.000,,1.455.000,,1.440.678,,16
George Town,2000,Malasia,1.530.000,,,1.336.000,,---,,181.380 [n 1]​,,17
Denpasar,2010,Indonesia,1.470.000,,,1.175.000,,1.107.000,,788.589 [n 1]​,,18
Malang,2010,Indonesia,1.410.000,,,1.114.000,,856.000,,820.243,,19
Mandalay,2014,Birmania,1.390.000,,,1.160.000,,1.167.000,,1.225.546,,20
Davao,2010,Filipinas,1.330.000,,,1.630.000,,1.630.000,,1.176.586 [n 1]​,,21
