Ciudad,Fecha,País,Citypopulation 2015,Demographia 2015,ONU 2015,Ultimo Censo,Posición en Tabla Inicial
Liverpool,2011.0,Reino Unido,1830000.0,875000.0,870000.0,1367147.0,26
Valencia,2011.0,España,1780000.0,1561000.0,810000.0,,27
Turín,2011.0,Italia,1670000.0,1521000.0,1765000.0,,28
Marsella,1999.0,Francia,1640000.0,1397000.0,1605000.0,1463016.0,29
Glasgow,2011.0,Reino Unido,1610000.0,1220000.0,1223000.0,1601154.0,30
Copenhague,,Dinamarca,1600000.0,1248000.0,1268000.0,,31
Sheffield,2011.0,Reino Unido,1530000.0,706000.0,706000.0,795844.0,32
Mannheim,2011.0,Alemania,1520000.0,559000.0,319000.0,,33
Newcastle upon Tyne,2011.0,Reino Unido,1460000.0,793000.0,791000.0,1220781.0,34
Zúrich,2010.0,Suiza,1350000.0,785000.0,1246000.0,1249750.0,35
Nottingham,2011.0,Reino Unido,1350000.0,755000.0,755000.0,754789.0,36
Sevilla,2011.0,España,1340000.0,1107000.0,701000.0,698042.0,37
Dublín,2011.0,Irlanda,1320000.0,1160000.0,1169000.0,1110627.0,38
Lille,1999.0,Francia,1270000.0,1018000.0,1027000.0,999797.0,39
Helsinki,2000.0,Finlandia,1220000.0,1208000.0,1180000.0,1027305.0,40
Oporto,2001.0,Portugal,1190000.0,1474000.0,1299000.0,,41
Núremberg,2011.0,Alemania,1160000.0,670000.0,517000.0,,42
Oslo,1990.0,Noruega,1130000.0,975000.0,986000.0,685530.0,43
Southampton,2011.0,Reino Unido,1130000.0,883000.0,882000.0,1060326.0,44
Hannover,2011.0,Alemania,1120000.0,711000.0,533000.0,,45
Amberes,,Bélgica,1020000.0,1008000.0,994000.0,,46
Málaga,2011.0,España,1010000.0,716000.0,574000.0,561435.0,47
Moscú,2010.0,Rusia,16800000.0,16170000.0,12166000.0,11612885.0,1
Estambul [n 8]​,2000.0,Turquía,14200000.0,13287000.0,14164000.0,8803468.0,2
San Petersburgo,2010.0,Rusia,5400000.0,5126000.0,4993000.0,4879566.0,3
Kiev,2001.0,Ucrania,3375000.0,2241000.0,2942000.0,2611327.0,4
Budapest,2011.0,Hungría,2550000.0,1710000.0,1714000.0,1729040.0,5
Katowice,2011.0,Polonia,2400000.0,2190000.0,303000.0,,6
Varsovia,2011.0,Polonia,2275000.0,1720000.0,1722000.0,,7
Bucarest,2011.0,Rumania,2175000.0,1860000.0,1868000.0,1883425.0,8
Minsk,2009.0,Bielorrusia,1950000.0,1910000.0,1915000.0,1836808.0,9
Nizni Nóvgorod,2010.0,Rusia,1750000.0,1201000.0,1212000.0,1250619.0,10
Járkov,2001.0,Ucrania,1650000.0,1440000.0,1441000.0,1470902.0,11
Donetsk,2001.0,Ucrania,1480000.0,930000.0,934000.0,1016194.0,12
Praga,2001.0,República Checa,1460000.0,1310000.0,1314000.0,1169106.0,13
Volgogrado,2010.0,Rusia,1410000.0,999000.0,1022000.0,1021215.0,14
Belgrado,2011.0,Serbia,1400000.0,1180000.0,1182000.0,1166763.0,15
Dnipropetrovsk,2001.0,Ucrania,1390000.0,950000.0,957000.0,1065008.0,16
Sofía,2011.0,Bulgaria,1320000.0,1195000.0,1226000.0,1202761.0,17
Samara,2010.0,Rusia,1320000.0,1162000.0,1164000.0,1164685.0,18
Rostov del Don,2010.0,Rusia,1280000.0,1090000.0,1097000.0,1089261.0,19
Kazán,2010.0,Rusia,1210000.0,1160000.0,1162000.0,1143535.0,20
Ufá,2010.0,Rusia,1110000.0,1024000.0,1070000.0,1062319.0,21
Odesa,2001.0,Ucrania,1110000.0,1010000.0,1010000.0,1029049.0,22
Perm,2010.0,Rusia,1100000.0,974000.0,982000.0,991162.0,23
Sarátov,2010.0,Rusia,1090000.0,772000.0,815000.0,837900.0,24
Vorónezh,2010.0,Rusia,1030000.0,897000.0,911000.0,975373.0,25
Sídney,2011.0,Australia,4850000.0,4036000.0,4505000.0,4028525.0,1
Melbourne,2011.0,Australia,4350000.0,3906000.0,4203000.0,3847567.0,2
Brisbane,2011.0,Australia,2875000.0,1999000.0,2202000.0,1977316.0,3
Perth,2011.0,Australia,2025000.0,1751000.0,1861000.0,1670952.0,4
Auckland,2013.0,Nueva Zelanda,1404000.0,1356000.0,1344000.0,1308831.0,5
Adelaida,2011.0,Australia,1290000.0,1140000.0,1256000.0,1198467.0,6
Honolulu[n 9]​,2010.0,Estados Unidos,1000000.0,842000.0,848000.0,953207.0,7
Milán,2011.0,Italia,5150000.0,5257000.0,3099000.0,1242123.0,8
Colonia - Düsseldorf,2011.0,Alemania,4825000.0,8783000.0,1640000.0,1591866.0,9
Barcelona,2011.0,España,4700000.0,4693000.0,5258000.0,1611013.0,10
Berlín,2011.0,Alemania,4450000.0,4069000.0,3563000.0,3292365.0,11
Nápoles,2011.0,Italia,4225000.0,3706000.0,2202000.0,962003.0,12
Atenas,2011.0,Grecia,3600000.0,3484000.0,3052000.0,3168846.0,13
Roma,2011.0,Italia,3550000.0,3906000.0,3718000.0,2617175.0,14
Kiev,2001.0,Ucrania,3375000.0,2241000.0,2942000.0,2611327.0,15
Birmingham,2011.0,Reino Unido,3100000.0,2512000.0,2515000.0,2697168.0,16
Róterdam,2001.0,Países Bajos,3100000.0,2660000.0,993000.0,608422.0,17
Fráncfort del Meno,2011.0,Alemania,3100000.0,1915000.0,715000.0,667925.0,18
Mánchester,2011.0,Reino Unido,3000000.0,2639000.0,2646000.0,2637335.0,19
Hamburgo,2011.0,Alemania,2750000.0,2087000.0,1831000.0,1706696.0,20
Lisboa,2001.0,Portugal,2600000.0,2666000.0,2884000.0,564657.0,21
Budapest,2011.0,Hungría,2550000.0,1710000.0,1714000.0,1729040.0,22
Katowice,2011.0,Polonia,2400000.0,2190000.0,303000.0,310764.0,23
Ámsterdam,2001.0,Países Bajos,2375000.0,1624000.0,1091000.0,734533.0,24
Stuttgart,2011.0,Alemania,2300000.0,1379000.0,626000.0,585890.0,25
Varsovia,2011.0,Polonia,2275000.0,1720000.0,1722000.0,1700612.0,26
Bucarest,2011.0,Rumania,2175000.0,1860000.0,1868000.0,1883425.0,27
Múnich,2011.0,Alemania,2175000.0,1981000.0,1438000.0,1348335.0,28
Viena,2011.0,Austria,2125000.0,1763000.0,1753000.0,2015580.0,29
Leeds,2011.0,Reino Unido,2125000.0,1893000.0,1912000.0,2058861.0,30
Estocolmo,,Suecia,2075000.0,1484000.0,1486000.0,,31
Bruselas,,Bélgica,2000000.0,2089000.0,2045000.0,,32
Minsk,2009.0,Bielorrusia,1950000.0,1910000.0,1915000.0,1836808.0,33
Lyon,1999.0,Francia,1920000.0,1583000.0,1609000.0,1428998.0,34
Liverpool,2011.0,Reino Unido,1830000.0,875000.0,870000.0,1367147.0,35
Valencia,2011.0,España,1780000.0,1561000.0,810000.0,792054.0,36
Nizni Nóvgorod,2010.0,Rusia,1750000.0,1201000.0,1212000.0,1250619.0,37
Turín,2011.0,Italia,1670000.0,1521000.0,1765000.0,872367.0,38
Járkov,2001.0,Ucrania,1650000.0,1440000.0,1441000.0,1470902.0,39
Marsella,1999.0,Francia,1640000.0,1397000.0,1605000.0,1463016.0,40
Glasgow,2011.0,Reino Unido,1610000.0,1220000.0,1223000.0,1601154.0,41
Copenhague,,Dinamarca,1600000.0,1248000.0,1268000.0,,42
Sheffield,2011.0,Reino Unido,1530000.0,706000.0,706000.0,795844.0,43
Mannheim,2011.0,Alemania,1520000.0,559000.0,319000.0,290117.0,44
Donetsk,2001.0,Ucrania,1480000.0,930000.0,934000.0,1016194.0,45
Newcastle upon Tyne,2011.0,Reino Unido,1460000.0,793000.0,791000.0,1220781.0,46
Praga,2001.0,República Checa,1460000.0,1310000.0,1314000.0,1169106.0,47
Volgogrado,2010.0,Rusia,1410000.0,999000.0,1022000.0,1021215.0,48
Belgrado,2011.0,Serbia,1400000.0,1180000.0,1182000.0,1166763.0,49
Dnipropetrovsk,2001.0,Ucrania,1390000.0,950000.0,957000.0,1065008.0,50
