name,aliases,titles,born,died,gender,culture,father,mother,books,Books Apperences
Moryn Tyrell,['Has no known aliases'],['Ser \nLord Commander of the City Watch of Oldtown'],,,Male,,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Jon Umber,"['The Greatjon', 'Greatjon Umber']",['Lord of the Last Hearth'],At the Last Hearth,,Male,Northmen,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Wylis Manderly,['Has no known aliases'],['Ser'],"In or between 252 AC and 262 AC, at White Harbor",,Male,,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Willem Lannister,['Has no known aliases'],['Has no title'],In or between 285 AC and 287 AC,"In 299 AC, at Riverrun",Male,,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Willas Tyrell,['Has no known aliases'],['Has no title'],In or between 270 AC and 276 AC,,Male,,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Viserys II,['Has no known aliases'],"['King of the Andals, the Rhoynar and the First Men', 'Lord of the Seven Kingdoms', 'Protector of the Realm', 'Hand of the King']","122 AC, at Dragonstone","172 AC, at King's Landing",Male,,https://www.anapioficeandfire.com/api/characters/269,https://www.anapioficeandfire.com/api/characters/874,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/9', 'https://www.anapioficeandfire.com/api/books/10', 'https://www.anapioficeandfire.com/api/books/11']",5
Vortimer Crane,['Has no known aliases'],"['Ser', 'Master-at-arms at Highgarden']",,,Male,,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Mina Tyrell,['Has no known aliases'],['Has no title'],,,Female,,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Meryn Trant,['Has no known aliases'],['Ser'],,,Male,,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Walder Frey,['Big Walder'],['Has no title'],In 291 AC,,Male,,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Mathis Rowan,['Has no known aliases'],"['Lord of Goldengrove', 'Marshall of the Northmarch']",,,Male,Reach,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Yohn Royce,['Bronze Yohn'],['Lord of Runestone'],,,Male,Valemen,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Martyn Lannister,['Has no known aliases'],['Has no title'],In or between 285 AC and 287 AC,,Male,,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Bowen Marsh,['Old Pomegranate'],"['Lord Steward', 'First Steward']",,,Male,,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Marq Piper,['Has no known aliases'],['Ser'],At Pinkmaiden Castle,,Male,Rivermen,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Hobb,['Three-Finger Hobb'],['Has no title'],,,Male,,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Maron Greyjoy,['Has no known aliases'],['Has no title'],In 275 AC or before,"In 289 AC, at Pyke",Male,Ironborn,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Walder Rivers,['Bastard Walder'],['Ser'],,,Male,Rivermen,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Wendel Manderly,['Has no known aliases'],['Ser'],"In or between 254 AC and 263 AC, at White Harbor","In 299 AC, at the Twins",Male,,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Whalen Frey,['Has no known aliases'],['Ser'],In 267 AC or 268 AC,,Male,,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Maekar I,['The Anvil'],"['King of the Andals, the Rhoynar and the First Men', 'Lord of the Seven Kingdoms', 'Protector of the Realm', 'Prince of Summerhall']","or between 174 AC and 178 AC, at King's Landing","233 AC, at Starpike",Male,,https://www.anapioficeandfire.com/api/characters/274,https://www.anapioficeandfire.com/api/characters/709,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/4', 'https://www.anapioficeandfire.com/api/books/6', 'https://www.anapioficeandfire.com/api/books/7', 'https://www.anapioficeandfire.com/api/books/11']",5
Maegor I,['Maegor the Cruel'],"['King of the Andals, the Rhoynar and the First Men', 'Lord of the Seven Kingdoms', 'Protector of the Realm', 'Hand of the King', 'Ser']",12 AC,"48 AC, at King's Landing",Male,,https://www.anapioficeandfire.com/api/characters/38,https://www.anapioficeandfire.com/api/characters/2071,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/9', 'https://www.anapioficeandfire.com/api/books/10', 'https://www.anapioficeandfire.com/api/books/11']",5
Maege Mormont,['The She-Bear'],['Lady of Bear Island'],In or between 239 AC and 257 AC,,Female,Northmen,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Mace Tyrell,"['Lord Oaf', 'The Fat Flower', 'Lord Puff Fish']","['Lord of Highgarden', 'Defender of the Marches', 'High Marshal of the Reach', 'Warden of the South', 'Hand of the King', 'Master of ships (formerly)']",In After 256 AC,,Male,,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Lysa Arryn,['Lysa Tully'],['Lady of the Vale'],"In 266 AC or 267 AC, at Riverrun","In 300 AC, at the Eyrie",Female,,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Brynden Rivers,"['Lord Bloodraven', 'The three-eyed crow']","['Ser', 'Hand of the King', ""Lord Commander of the Night's Watch""]","In 175 AC, at King's Landing","In 252 AC(presumed), at beyond the Wall",Male,Valyrian,,,"['https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/6', 'https://www.anapioficeandfire.com/api/books/7', 'https://www.anapioficeandfire.com/api/books/8', 'https://www.anapioficeandfire.com/api/books/11']",5
Arwyn Oakheart,['Has no known aliases'],['Lady of Old Oak'],,,Female,,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Renly Baratheon,"['The King in Highgarden', 'The King in the South']","['Lord Paramount of the Stormlands', ""Lord of Storm's End"", 'Master of laws', 'Lord of the Seven Kingdoms (claimant)']",In 277 AC,"In 299 AC, at Storm's End",Male,Stormlands,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Halder,['Stone Head'],['Has no title'],In 281 AC or 282 AC,,Male,,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Beth Cassel,['Has no known aliases'],['Has no title'],"In about 289 AC, at Winterfell",,Female,Northmen,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Margaery Tyrell,"['The Little Queen', 'The Little Rose', 'Maid Margaery']",['Queen of the Seven Kingdoms'],"In 283 AC, at Highgarden",,Female,Westeros,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Aegor Rivers,['Bittersteel'],['Ser'],In 172 AC,"In 241 AC, at the Disputed Lands",Male,,,,"['https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/6', 'https://www.anapioficeandfire.com/api/books/7', 'https://www.anapioficeandfire.com/api/books/8', 'https://www.anapioficeandfire.com/api/books/11']",5
Jonos Bracken,['Has no known aliases'],['Lord of Stone Hedge'],At Stone Hedge,,Male,,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Amory Lorch,['The Manticore'],"['Ser', 'Castellan of Harrenhal']",,"In 299 AC, at Harrenhal",Male,,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Andar Royce,['Has no known aliases'],['Ser'],At Runestone,,Male,Valemen,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Illyrio Mopatis,"['The Cheesemonger', 'The Fat Man', 'The Lord of Cheese']",['Magister of Pentos'],At Pentos,,Male,Pentoshi,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Gregor Clegane,"['The Mountain That Rides', 'The Mountain', 'The Great Dog']","['Ser', ""Knight of Clegane's Keep""]",In 265 AC or 266 AC,In 300 AC,Male,,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Aegon IV,['Aegon the Unworthy'],"['King of the Andals, the Rhoynar and the First Men', 'Lord of the Seven Kingdoms', 'Protector of the Realm']","135 AC, at King's Landing","184 AC, at King's Landing",Male,,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/4', 'https://www.anapioficeandfire.com/api/books/7', 'https://www.anapioficeandfire.com/api/books/11']",5
Alliser Thorne,['Has no known aliases'],['Ser'],In 248 AC (roughly),,Male,,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Jhogo,['Has no known aliases'],"['Ko', 'Bloodrider']","In or between 281 AC and 283 AC, at Dothraki sea",,Male,Dothraki,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Arya Stark,"['Arya Horseface', 'Arya Underfoot', 'Arry', 'Lumpyface', 'Lumpyhead', 'Stickboy', 'Weasel', 'Nymeria', 'Squan', 'Saltb', 'Cat of the Canaly', 'Bets', 'The Blind Girh', 'The Ugly Little Girl', 'Mercedenl', 'Mercye']",['Princess'],"In 289 AC, at Winterfell",,Female,Northmen,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Aenys Frey,['Has no known aliases'],['Ser'],In or between 240 AC and 247 AC,"In 300 AC, at Near Winterfell",Male,,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Gormon Tyrell,['Maester Gormon'],['Maester'],,,Male,,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Alyn Stackspear,['Has no known aliases'],['Ser'],,,Male,,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Benjen Stark,"['The Wolf Pup', 'Ben Stark']",['First Ranger'],"In 267 AC or later, at Winterfell",,Male,Northmen,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Balon Greyjoy,"['Balon the Brave', 'Balon the Blessed', 'Balon the Twice Crowned', 'Balon the Widowmaker', 'The Kraken King']","['Iron King', 'King of the Isles and the North', 'King of Salt and Rock', 'Son of the Sea Wind', 'Lord Reaper of Pyke', 'The Greyjoy', 'Captain of the Great Kraken']",,"299 AC, at Pyke",Male,,https://www.anapioficeandfire.com/api/characters/836,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Joy Hill,['Has no known aliases'],['Has no title'],In 288 AC,,Female,,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Jhaqo,['Has no known aliases'],"['Khal', 'Ko (formerly)']",,,Male,Dothraki,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Irri,['Has no known aliases'],['Has no title'],In 283 AC or 284 AC,,Female,Dothraki,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Lomys,['Has no known aliases'],['Maester'],,,Male,,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Jhiqui,['Has no known aliases'],['Has no title'],In 284 AC,,Female,Dothraki,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Albar Royce,['Has no known aliases'],['Ser'],,,Male,,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Aerys I,['Has no known aliases'],"['King of the Andals, the Rhoynar, and the First Men', 'Lord of the Seven Kingdoms', 'Protector of the Realm']","or between 172 AC and 176 AC, at King's Landing",221 AC,Male,,https://www.anapioficeandfire.com/api/characters/274,https://www.anapioficeandfire.com/api/characters/709,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/4', 'https://www.anapioficeandfire.com/api/books/6', 'https://www.anapioficeandfire.com/api/books/7', 'https://www.anapioficeandfire.com/api/books/11']",5
Alerie Hightower,['Has no known aliases'],['Lady of Highgarden'],"In or between 257 AC and 263 AC, at Oldtown",,Female,,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Barristan Selmy,"['Barristan the Bold', 'Arstan Whitebeard', 'Ser Grandfather', 'Barristan the Old', 'Old Ser']","['Ser', 'Hand of the Queen']",In 237 AC,,Male,Westeros,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/11']",5
Barth,['Has no known aliases'],"['Septon', 'Hand of the King']",,In 99 AC,Male,,,,"['https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8', 'https://www.anapioficeandfire.com/api/books/10', 'https://www.anapioficeandfire.com/api/books/11']",5
Baelor Targaryen,"['Baelor Breakspear', 'The Hammer']","['Prince of Dragonstone', 'Protector of the Realm', 'Hand of the King']",In 170 AC,"In 209 AC, at Ashford",Male,,,,"['https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/4', 'https://www.anapioficeandfire.com/api/books/6', 'https://www.anapioficeandfire.com/api/books/7', 'https://www.anapioficeandfire.com/api/books/11']",5
Balon Swann,['Has no known aliases'],['Ser'],,,Male,Stormlands,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Jalabhar Xho,['Has no known aliases'],['Prince of the Red Flower Vale'],,,Male,Summer Isles,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Addam Marbrand,['Has no known aliases'],"['Ser', 'Commander of the City Watch']",,,Male,,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Jeren,['Has no known aliases'],['Has no title'],,,Male,,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Vyman,['Has no known aliases'],['Maester'],,,Male,,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Harwin,['Has no known aliases'],['Has no title'],In 271 AC or later,,Male,Northmen,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",5
Lynesse Hightower,['Has no known aliases'],['Has no title'],,,Female,,,,"['https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",4
Walder Frey,['Red Walder'],['Has no title'],In 285 AC,,Male,,,,"['https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",4
Delp,['Has no known aliases'],['Has no title'],,"In 299 AC, at Riverrun",Male,,,,"['https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",4
Ermesande Hayford,['Has no known aliases'],['Lady of Hayford'],In 298 AC,,Female,,,,"['https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",4
Alyn Ambrose,['Has no known aliases'],['Has no title'],,,Male,,,,"['https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",4
Ronnet Connington,['Red Ronnet'],"[""Ser Knight of Griffin's Roost""]",In 274 AC,,Male,,,,"['https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",4
Hullen,['Has no known aliases'],['Master of horse at Winterfell'],,"In 298 AC, at King's Landing",Male,Northmen,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/8']",4
Matarys Targaryen,['The Even Younger Prince'],['Prince'],In 184 AC or later,"In 209 AC, at King's Landing",Male,,,,"['https://www.anapioficeandfire.com/api/books/4', 'https://www.anapioficeandfire.com/api/books/6', 'https://www.anapioficeandfire.com/api/books/7', 'https://www.anapioficeandfire.com/api/books/11']",4
Conwy,['Has no known aliases'],['Has no title'],,,Male,,,,"['https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",4
Alyn Velaryon,"['Alyn of Hull', 'The Oakenfist', 'Lord Oakenfist']","['Lord of the Tides', 'Master of Driftmark', 'Admiral', 'Master of ships']","In 115 AC or later, at Hull, Driftmark","In or between 171 AC and 176 AC, at sea",Male,Valyrian,,,"['https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8', 'https://www.anapioficeandfire.com/api/books/9', 'https://www.anapioficeandfire.com/api/books/11']",4
Roland Crakehall,['Has no known aliases'],['Lord of Crakehall'],,,Male,,,,"['https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",4
Arwyn Frey,['Has no known aliases'],['Has no title'],In 285 AC,,Female,,,,"['https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",4
The Tickler,['the Tickler'],['Has no title'],,"In 300 AC, at Inn at the Crossroads",Female,,,,"['https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",4
Willem Frey,['Has no known aliases'],['Has no title'],In 289 AC or 290 AC,,Male,,,,"['https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",4
Theon Stark,['The Hungry Wolf'],['King of Winter'],,,Male,Northmen,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/8', 'https://www.anapioficeandfire.com/api/books/11']",4
Arys Oakheart,['Has no known aliases'],['Ser'],At Old Oak,"In 300 AC, at the Greenblood",Male,Reach,,,"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/8']",4
