,geometry.coordinates,geometry.type,id,properties.alert,properties.cdi,properties.code,properties.detail,properties.dmin,properties.felt,properties.gap,properties.ids,properties.mag,properties.magType,properties.mmi,properties.net,properties.nst,properties.place,properties.rms,properties.sig,properties.sources,properties.status,properties.time,properties.title,properties.tsunami,properties.type,properties.types,properties.tz,properties.updated,properties.url,type
115,"[-17.1932, -35.7304, 10]",Point,us6000408i,green,,6000408i,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000408i&format=geojson,4.155,,51.0,",us6000408i,",5.7,mww,0.0,us,,Southern Mid-Atlantic Ridge,0.95,500,",us,",reviewed,1560394831301,M 5.7 - Southern Mid-Atlantic Ridge,0,earthquake,",geoserve,losspager,moment-tensor,origin,phase-data,shakemap,",-60,1563160308920,https://earthquake.usgs.gov/earthquakes/eventpage/us6000408i,Feature
116,"[72.8572, 34.6813, 12.9]",Point,us70003ydx,,4.8,70003ydx,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us70003ydx&format=geojson,1.083,10.0,67.0,",us70003ydx,",5.2,mb,,us,,"15km W of Batgram, Pakistan",0.65,421,",us,",reviewed,1560309024900,"M 5.2 - 15km W of Batgram, Pakistan",0,earthquake,",dyfi,geoserve,origin,phase-data,",300,1563158924040,https://earthquake.usgs.gov/earthquakes/eventpage/us70003ydx,Feature
117,"[-127.071, -55.0453, 10]",Point,us70003yc6,,,70003yc6,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us70003yc6&format=geojson,29.986,,69.0,",us70003yc6,",5.2,mb,,us,,Pacific-Antarctic Ridge,0.83,416,",us,",reviewed,1560295421310,M 5.2 - Pacific-Antarctic Ridge,0,earthquake,",geoserve,origin,phase-data,",-480,1560993918040,https://earthquake.usgs.gov/earthquakes/eventpage/us70003yc6,Feature
118,"[-173.8396, -21.232, 10]",Point,us70003xzr,,,70003xzr,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us70003xzr&format=geojson,4.255,,32.0,",us70003xzr,",5.2,mb,,us,,"115km E of `Ohonua, Tonga",1.03,416,",us,",reviewed,1560236401808,"M 5.2 - 115km E of `Ohonua, Tonga",0,earthquake,",geoserve,origin,phase-data,",-720,1563426000040,https://earthquake.usgs.gov/earthquakes/eventpage/us70003xzr,Feature
119,"[178.3903, -16.1481, 10.98]",Point,us70003xuq,,6.1,70003xuq,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us70003xuq&format=geojson,1.62,1.0,121.0,",us70003xuq,",5.0,mb,,us,,"110km WNW of Lambasa, Fiji",1.28,385,",us,",reviewed,1560198321283,"M 5.0 - 110km WNW of Lambasa, Fiji",0,earthquake,",dyfi,geoserve,origin,phase-data,",720,1562334978438,https://earthquake.usgs.gov/earthquakes/eventpage/us70003xuq,Feature
120,"[147.7604, 17.4069, 23.85]",Point,us70003xrj,green,,70003xrj,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us70003xrj&format=geojson,2.867,,38.0,",us70003xrj,",5.4,mww,0.0,us,,"224km ESE of Pagan, Northern Mariana Islands",0.76,449,",us,",reviewed,1560186893788,"M 5.4 - 224km ESE of Pagan, Northern Mariana Islands",0,earthquake,",geoserve,losspager,moment-tensor,origin,phase-data,shakemap,",600,1561055796531,https://earthquake.usgs.gov/earthquakes/eventpage/us70003xrj,Feature
121,"[131.8558, -6.5763, 61]",Point,us70003xr9,green,2.4,70003xr9,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us70003xr9&format=geojson,1.502,5.0,33.0,",us70003xr9,",5.5,mww,4.016,us,,"141km SW of Tual, Indonesia",0.82,467,",us,",reviewed,1560185958526,"M 5.5 - 141km SW of Tual, Indonesia",1,earthquake,",dyfi,geoserve,losspager,moment-tensor,origin,phase-data,shakemap,",540,1560781704717,https://earthquake.usgs.gov/earthquakes/eventpage/us70003xr9,Feature
122,"[147.8018, 17.4031, 10]",Point,us70003xqp,,,70003xqp,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us70003xqp&format=geojson,2.89,,129.0,",us70003xqp,",5.0,mb,,us,,"229km ESE of Pagan, Northern Mariana Islands",0.7,385,",us,",reviewed,1560182398529,"M 5.0 - 229km ESE of Pagan, Northern Mariana Islands",0,earthquake,",geoserve,origin,phase-data,",600,1560779134040,https://earthquake.usgs.gov/earthquakes/eventpage/us70003xqp,Feature
123,"[167.9326, -15.9632, 168.67]",Point,us70003xp2,,,70003xp2,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us70003xp2&format=geojson,6.237,,133.0,",us70003xp2,",5.0,mb,,us,,"57km ENE of Lakatoro, Vanuatu",0.46,385,",us,",reviewed,1560177788938,"M 5.0 - 57km ENE of Lakatoro, Vanuatu",0,earthquake,",geoserve,origin,phase-data,",660,1560777553040,https://earthquake.usgs.gov/earthquakes/eventpage/us70003xp2,Feature
124,"[139.3606, -2.7959, 35]",Point,us70003xfp,,,70003xfp,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us70003xfp&format=geojson,7.104,,31.0,",us70003xfp,",5.3,mww,,us,,"137km W of Abepura, Indonesia",0.5,432,",us,",reviewed,1560081235857,"M 5.3 - 137km W of Abepura, Indonesia",1,earthquake,",geoserve,moment-tensor,origin,phase-data,",540,1563080974040,https://earthquake.usgs.gov/earthquakes/eventpage/us70003xfp,Feature
125,"[108.9471, -8.1979, 70.44]",Point,us70003xf0,green,4.1,70003xf0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us70003xf0&format=geojson,1.586,7.0,45.0,",us70003xf0,",5.4,mww,3.851,us,,"55km S of Karangbadar Kidul, Indonesia",0.89,451,",us,",reviewed,1560072745075,"M 5.4 - 55km S of Karangbadar Kidul, Indonesia",1,earthquake,",dyfi,geoserve,losspager,moment-tensor,origin,phase-data,shakemap,",420,1563080760082,https://earthquake.usgs.gov/earthquakes/eventpage/us70003xf0,Feature
126,"[154.4848, -5.6512, 149.86]",Point,us70003xch,,,70003xch,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us70003xch&format=geojson,2.729,,68.0,",us70003xch,",5.0,mb,,us,,"132km WNW of Arawa, Papua New Guinea",0.65,385,",us,",reviewed,1560029814950,"M 5.0 - 132km WNW of Arawa, Papua New Guinea",1,earthquake,",geoserve,origin,phase-data,",600,1562122850040,https://earthquake.usgs.gov/earthquakes/eventpage/us70003xch,Feature
127,"[-177.1737, -25.21, 109.34]",Point,us70003x7u,green,,70003x7u,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us70003x7u&format=geojson,4.075,,90.0,",us70003x7u,",5.5,mww,0.0,us,,South of the Fiji Islands,1.21,465,",us,",reviewed,1560003543677,M 5.5 - South of the Fiji Islands,0,earthquake,",geoserve,losspager,moment-tensor,origin,phase-data,shakemap,",-720,1563048949308,https://earthquake.usgs.gov/earthquakes/eventpage/us70003x7u,Feature
128,"[149.5352, -3.7351, 10]",Point,us70003x6b,,,70003x6b,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us70003x6b&format=geojson,2.661,,60.0,",us70003x6b,",5.1,mb,,us,,"190km SW of Kavieng, Papua New Guinea",0.59,400,",us,",reviewed,1559990959732,"M 5.1 - 190km SW of Kavieng, Papua New Guinea",0,earthquake,",geoserve,origin,phase-data,",600,1562314031040,https://earthquake.usgs.gov/earthquakes/eventpage/us70003x6b,Feature
129,"[154.8, -6.2246, 62.85]",Point,us70003x66,,,70003x66,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us70003x66&format=geojson,3.312,,52.0,",us70003x66,",5.0,mww,,us,,"76km W of Panguna, Papua New Guinea",0.74,385,",us,",reviewed,1559989195099,"M 5.0 - 76km W of Panguna, Papua New Guinea",1,earthquake,",geoserve,moment-tensor,origin,phase-data,",660,1562997449040,https://earthquake.usgs.gov/earthquakes/eventpage/us70003x66,Feature
130,"[102.4927, -47.7749, 10]",Point,us70003x23,,,70003x23,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us70003x23&format=geojson,18.559,,59.0,",us70003x23,",5.0,mb,,us,,Southeast Indian Ridge,1.46,385,",us,",reviewed,1559950568806,M 5.0 - Southeast Indian Ridge,0,earthquake,",geoserve,origin,phase-data,",420,1559954012040,https://earthquake.usgs.gov/earthquakes/eventpage/us70003x23,Feature
131,"[-151.1795, 58.2809, 25.4]",Point,ak01979jl6pt,green,3.8,01979jl6pt,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak01979jl6pt&format=geojson,,31.0,,",ak01979jl6pt,at00psqhjv,us70003wr2,",5.0,mb,3.52,ak,,"87km NE of Kodiak, Alaska",0.61,396,",ak,at,us,",reviewed,1559919453794,"M 5.0 - 87km NE of Kodiak, Alaska",1,earthquake,",dyfi,geoserve,ground-failure,impact-link,losspager,moment-tensor,origin,phase-data,shakemap,",-600,1562672268040,https://earthquake.usgs.gov/earthquakes/eventpage/ak01979jl6pt,Feature
132,"[124.1678, 6.4759, 470.06]",Point,us70003w0p,green,5.6,70003w0p,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us70003w0p&format=geojson,1.52,1.0,23.0,",us70003w0p,",5.5,mww,1.877,us,,"8km ENE of Kulaman, Philippines",0.91,466,",us,",reviewed,1559767309574,"M 5.5 - 8km ENE of Kulaman, Philippines",0,earthquake,",dyfi,geoserve,losspager,moment-tensor,origin,phase-data,shakemap,",480,1561055652531,https://earthquake.usgs.gov/earthquakes/eventpage/us70003w0p,Feature
133,"[-70.1933, -27.4146, 75.21]",Point,us70003vu4,,4.1,70003vu4,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us70003vu4&format=geojson,0.154,6.0,52.0,",us70003vu4,",5.3,mww,,us,,"14km ESE of Copiapo, Chile",0.95,435,",us,",reviewed,1559751582443,"M 5.3 - 14km ESE of Copiapo, Chile",0,earthquake,",dyfi,geoserve,moment-tensor,origin,phase-data,",-240,1560898102766,https://earthquake.usgs.gov/earthquakes/eventpage/us70003vu4,Feature
134,"[164.4229, 54.7052, 10]",Point,us70003vqp,,,70003vqp,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us70003vqp&format=geojson,3.81,,87.0,",us70003vqp,",5.1,mww,,us,,"114km WSW of Nikol'skoye, Russia",0.54,400,",us,",reviewed,1559732273463,"M 5.1 - 114km WSW of Nikol'skoye, Russia",0,earthquake,",geoserve,moment-tensor,origin,phase-data,",660,1562995974040,https://earthquake.usgs.gov/earthquakes/eventpage/us70003vqp,Feature
135,"[-175.1917, -20.0595, 76.3]",Point,us70003yi0,,,70003yi0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us70003yi0&format=geojson,5.059,,75.0,",us70003yi0,",5.0,mb,,us,,"92km WSW of Pangai, Tonga",0.64,385,",us,",reviewed,1559690845091,"M 5.0 - 92km WSW of Pangai, Tonga",0,earthquake,",geoserve,origin,phase-data,",-720,1562709936040,https://earthquake.usgs.gov/earthquakes/eventpage/us70003yi0,Feature
136,"[121.6749, 22.8974, 10]",Point,us70003v7s,green,4.6,70003v7s,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us70003v7s&format=geojson,0.554,23.0,14.0,",us70003v7s,",5.5,mww,4.734,us,,"56km ENE of Taitung City, Taiwan",0.98,476,",us,",reviewed,1559641578339,"M 5.5 - 56km ENE of Taitung City, Taiwan",0,earthquake,",dyfi,geoserve,losspager,moment-tensor,origin,phase-data,shakemap,",480,1562846539395,https://earthquake.usgs.gov/earthquakes/eventpage/us70003v7s,Feature
137,"[173.2555, -16.8606, 10]",Point,us70003v6n,,,70003v6n,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us70003v6n&format=geojson,4.666,,71.0,",us70003v6n,",5.3,mww,,us,,Fiji region,1.23,432,",us,",reviewed,1559629472485,M 5.3 - Fiji region,0,earthquake,",geoserve,moment-tensor,origin,phase-data,",720,1562895193040,https://earthquake.usgs.gov/earthquakes/eventpage/us70003v6n,Feature
138,"[139.3027, 29.0708, 422]",Point,us70003v3j,green,3.1,70003v3j,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us70003v3j&format=geojson,3.217,4.0,21.0,",us70003v3j,",6.4,mww,0.0,us,,"Izu Islands, Japan region",0.9,631,",us,",reviewed,1559623156978,"M 6.4 - Izu Islands, Japan region",0,earthquake,",dyfi,geoserve,losspager,moment-tensor,origin,phase-data,shakemap,",540,1563147635827,https://earthquake.usgs.gov/earthquakes/eventpage/us70003v3j,Feature
139,"[-174.1205, -21.5115, 10]",Point,us70003v21,,,70003v21,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us70003v21&format=geojson,8.272,,89.0,",us70003v21,",5.2,mww,,us,,"88km ESE of `Ohonua, Tonga",0.98,416,",us,",reviewed,1559610938569,"M 5.2 - 88km ESE of `Ohonua, Tonga",0,earthquake,",geoserve,moment-tensor,origin,phase-data,",-720,1563152908040,https://earthquake.usgs.gov/earthquakes/eventpage/us70003v21,Feature
140,"[179.1547, -37.0428, 10]",Point,us70003uu4,green,,70003uu4,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us70003uu4&format=geojson,0.852,,125.0,",us70003uu4,",5.3,mb,2.74,us,,"201km NE of Opotiki, New Zealand",0.73,432,",us,",reviewed,1559582675419,"M 5.3 - 201km NE of Opotiki, New Zealand",0,earthquake,",geoserve,losspager,origin,phase-data,shakemap,",720,1560459371086,https://earthquake.usgs.gov/earthquakes/eventpage/us70003uu4,Feature
141,"[-70.4952, -19.6837, 47.38]",Point,us70003uny,,6.1,70003uny,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us70003uny&format=geojson,0.676,27.0,82.0,",us70003uny,",5.2,mww,,us,,"69km NNW of Iquique, Chile",0.89,432,",us,",reviewed,1559551332461,"M 5.2 - 69km NNW of Iquique, Chile",0,earthquake,",dyfi,geoserve,moment-tensor,origin,phase-data,",-300,1562148009040,https://earthquake.usgs.gov/earthquakes/eventpage/us70003uny,Feature
142,"[129.4754, -6.8699, 182.18]",Point,us70003ump,,2.5,70003ump,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us70003ump&format=geojson,2.119,2.0,40.0,",us70003ump,",5.2,mww,,us,,"235km WNW of Saumlaki, Indonesia",0.75,416,",us,",reviewed,1559543189491,"M 5.2 - 235km WNW of Saumlaki, Indonesia",0,earthquake,",dyfi,geoserve,origin,phase-data,",540,1563197070040,https://earthquake.usgs.gov/earthquakes/eventpage/us70003ump,Feature
143,"[97.7429, 0.3426, 10]",Point,us70003um9,green,3.1,70003um9,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us70003um9&format=geojson,0.969,2.0,26.0,",us70003um9,",5.2,mww,3.836,us,,"193km SW of Sibolga, Indonesia",0.84,417,",us,",reviewed,1559541875642,"M 5.2 - 193km SW of Sibolga, Indonesia",1,earthquake,",dyfi,geoserve,losspager,moment-tensor,origin,phase-data,shakemap,",420,1562147563988,https://earthquake.usgs.gov/earthquakes/eventpage/us70003um9,Feature
144,"[97.7223, 0.378, 19]",Point,us70003um7,green,4.1,70003um7,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us70003um7&format=geojson,0.931,3.0,27.0,",us70003um7,",5.8,mww,5.256,us,,"191km SW of Sibolga, Indonesia",0.81,519,",us,",reviewed,1559541429503,"M 5.8 - 191km SW of Sibolga, Indonesia",1,earthquake,",dyfi,geoserve,losspager,moment-tensor,origin,phase-data,shakemap,",420,1562147611649,https://earthquake.usgs.gov/earthquakes/eventpage/us70003um7,Feature
145,"[-173.6842, -21.1259, 10]",Point,us70003xqc,,,70003xqc,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us70003xqc&format=geojson,4.077,,55.0,",us70003xqc,",5.0,mb,,us,,"133km E of `Ohonua, Tonga",0.71,385,",us,",reviewed,1559516745054,"M 5.0 - 133km E of `Ohonua, Tonga",0,earthquake,",geoserve,origin,phase-data,",-720,1560564794040,https://earthquake.usgs.gov/earthquakes/eventpage/us70003xqc,Feature
146,"[-173.9076, -21.2091, 10]",Point,us70003ud5,green,,70003ud5,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us70003ud5&format=geojson,4.299,,66.0,",us70003ud5,",6.0,mww,0.0,us,,"109km E of `Ohonua, Tonga",0.66,554,",us,",reviewed,1559471789659,"M 6.0 - 109km E of `Ohonua, Tonga",0,earthquake,",geoserve,ground-failure,losspager,moment-tensor,origin,phase-data,shakemap,",-720,1561188132824,https://earthquake.usgs.gov/earthquakes/eventpage/us70003ud5,Feature
147,"[98.4603, 0.6521, 30.36]",Point,us70003uac,,5.9,70003uac,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us70003uac&format=geojson,1.096,5.0,40.0,",us70003uac,",5.3,mww,,us,,"119km SW of Padangsidempuan, Indonesia",1.38,435,",us,",reviewed,1559444588218,"M 5.3 - 119km SW of Padangsidempuan, Indonesia",1,earthquake,",dyfi,geoserve,moment-tensor,origin,phase-data,",420,1561677769376,https://earthquake.usgs.gov/earthquakes/eventpage/us70003uac,Feature
148,"[142.7312, 23.4193, 55.95]",Point,us70003u7m,,,70003u7m,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us70003u7m&format=geojson,3.694,,14.0,",us70003u7m,",5.1,mww,,us,,"207km SE of Iwo Jima, Japan",1.02,400,",us,",reviewed,1559420039486,"M 5.1 - 207km SE of Iwo Jima, Japan",0,earthquake,",geoserve,origin,phase-data,",600,1561002961040,https://earthquake.usgs.gov/earthquakes/eventpage/us70003u7m,Feature
149,"[122.6786, -1.7584, 35]",Point,us70003u5n,,6.4,70003u5n,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us70003u5n&format=geojson,0.717,7.0,50.0,",us70003u5n,",5.0,mb,,us,,"90km S of Luwuk, Indonesia",1.03,389,",us,",reviewed,1559405645248,"M 5.0 - 90km S of Luwuk, Indonesia",1,earthquake,",dyfi,geoserve,origin,phase-data,",480,1561911694965,https://earthquake.usgs.gov/earthquakes/eventpage/us70003u5n,Feature
150,"[-25.9719, 0.8184, 10]",Point,us70003u5f,green,,70003u5f,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us70003u5f&format=geojson,11.912,,51.0,",us70003u5f,",5.4,mww,0.0,us,,Central Mid-Atlantic Ridge,0.74,449,",us,",reviewed,1559401381715,M 5.4 - Central Mid-Atlantic Ridge,0,earthquake,",geoserve,losspager,origin,phase-data,shakemap,",-120,1561910240391,https://earthquake.usgs.gov/earthquakes/eventpage/us70003u5f,Feature
151,"[-14.5344, -14.1654, 10]",Point,us70003u3b,green,,70003u3b,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us70003u3b&format=geojson,6.196,,50.0,",us70003u3b,",5.3,mww,0.0,us,,Southern Mid-Atlantic Ridge,0.72,432,",us,",reviewed,1559384263535,M 5.3 - Southern Mid-Atlantic Ridge,0,earthquake,",geoserve,losspager,origin,phase-data,shakemap,",-60,1561812247105,https://earthquake.usgs.gov/earthquakes/eventpage/us70003u3b,Feature
152,"[126.6003, 6.1857, 82]",Point,us70003u2y,green,4.3,70003u2y,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us70003u2y&format=geojson,1.341,13.0,53.0,",us70003u2y,",5.4,mww,3.803,us,,"50km ESE of Pondaguitan, Philippines",1.02,454,",us,",reviewed,1559382328556,"M 5.4 - 50km ESE of Pondaguitan, Philippines",0,earthquake,",dyfi,geoserve,losspager,moment-tensor,origin,phase-data,shakemap,",480,1561813218068,https://earthquake.usgs.gov/earthquakes/eventpage/us70003u2y,Feature
153,"[20.7398, 40.5713, 10]",Point,us70003u24,,4.3,70003u24,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us70003u24&format=geojson,1.02,2.0,36.0,",us70003u24,",5.0,mww,,us,,"6km SSW of Korce, Albania",0.81,385,",us,",reviewed,1559372428533,"M 5.0 - 6km SSW of Korce, Albania",0,earthquake,",dyfi,geoserve,moment-tensor,origin,phase-data,",60,1561122637591,https://earthquake.usgs.gov/earthquakes/eventpage/us70003u24,Feature
154,"[20.7025, 40.5257, 10]",Point,us70003u1a,,5.0,70003u1a,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us70003u1a&format=geojson,1.038,27.0,33.0,",us70003u1a,",5.2,mww,,us,,"12km SSW of Korce, Albania",1.22,430,",us,",reviewed,1559363179636,"M 5.2 - 12km SSW of Korce, Albania",0,earthquake,",dyfi,geoserve,impact-text,moment-tensor,origin,phase-data,",60,1562712390040,https://earthquake.usgs.gov/earthquakes/eventpage/us70003u1a,Feature
155,"[151.4557, -4.9433, 9.5]",Point,us70003tue,green,,70003tue,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us70003tue&format=geojson,1.027,,39.0,",us70003tue,",5.4,mww,6.413,us,,"110km SW of Kokopo, Papua New Guinea",0.64,449,",us,",reviewed,1559325029846,"M 5.4 - 110km SW of Kokopo, Papua New Guinea",1,earthquake,",geoserve,losspager,moment-tensor,origin,phase-data,shakemap,",600,1562767151792,https://earthquake.usgs.gov/earthquakes/eventpage/us70003tue,Feature
156,"[-107.1447, 18.7604, 10]",Point,us70003tn5,green,2.0,70003tn5,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us70003tn5&format=geojson,3.361,1.0,68.0,",us70003tn5,",5.8,mww,0.0,us,,"237km WSW of Tomatlan, Mexico",0.72,518,",us,",reviewed,1559303844661,"M 5.8 - 237km WSW of Tomatlan, Mexico",0,earthquake,",dyfi,geoserve,losspager,moment-tensor,origin,phase-data,shakemap,",-420,1563193543420,https://earthquake.usgs.gov/earthquakes/eventpage/us70003tn5,Feature
157,"[126.4813, 6.2822, 98.7]",Point,us70003tl7,green,5.3,70003tl7,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us70003tl7&format=geojson,1.189,37.0,26.0,",us70003tl7,",6.1,mww,4.345,us,,"34km ESE of Pondaguitan, Philippines",0.75,592,",us,",reviewed,1559297552892,"M 6.1 - 34km ESE of Pondaguitan, Philippines",0,earthquake,",dyfi,geoserve,ground-failure,losspager,moment-tensor,origin,phase-data,shakemap,",480,1563197138838,https://earthquake.usgs.gov/earthquakes/eventpage/us70003tl7,Feature
158,"[117.4923, -7.2118, 568.89]",Point,us70003tjb,green,2.7,70003tjb,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us70003tjb&format=geojson,3.132,1.0,41.0,",us70003tjb,",5.4,mww,1.0,us,,"107km NNW of Labuhankananga, Indonesia",0.85,449,",us,",reviewed,1559284673581,"M 5.4 - 107km NNW of Labuhankananga, Indonesia",0,earthquake,",dyfi,geoserve,losspager,origin,phase-data,shakemap,",480,1561120761646,https://earthquake.usgs.gov/earthquakes/eventpage/us70003tjb,Feature
159,"[-176.3171, -21.7541, 177.85]",Point,us70003t7v,green,2.7,70003t7v,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us70003t7v&format=geojson,6.557,3.0,25.0,",us70003t7v,",6.0,mww,3.727,us,,"131km WSW of Vaini, Tonga",0.82,555,",us,",reviewed,1559230681451,"M 6.0 - 131km WSW of Vaini, Tonga",0,earthquake,",dyfi,geoserve,ground-failure,losspager,moment-tensor,origin,phase-data,shakemap,",-720,1561819191150,https://earthquake.usgs.gov/earthquakes/eventpage/us70003t7v,Feature
160,"[-89.3546, 13.1703, 43.95]",Point,us70003t2n,yellow,7.2,70003t2n,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us70003t2n&format=geojson,1.221,451.0,22.0,",at00psb7tv,pt19150000,us70003t2n,",6.6,mww,6.204,us,,"35km S of La Libertad, El Salvador",0.97,995,",at,pt,us,",reviewed,1559207011151,"M 6.6 - 35km S of La Libertad, El Salvador",1,earthquake,",dyfi,geoserve,ground-failure,impact-link,impact-text,losspager,moment-tensor,origin,phase-data,shakemap,",-360,1562758711018,https://earthquake.usgs.gov/earthquakes/eventpage/us70003t2n,Feature
161,"[128.4076, 2.1521, 73.33]",Point,us70003sy0,,,70003sy0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us70003sy0&format=geojson,1.721,,68.0,",us70003sy0,",5.2,mb,,us,,"64km NE of Tobelo, Indonesia",0.81,416,",us,",reviewed,1559168023709,"M 5.2 - 64km NE of Tobelo, Indonesia",1,earthquake,",geoserve,origin,phase-data,",540,1559972606040,https://earthquake.usgs.gov/earthquakes/eventpage/us70003sy0,Feature
162,"[-178.7822, -31.6566, 86.55]",Point,us70003stl,,,70003stl,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us70003stl&format=geojson,2.514,,72.0,",us70003stl,",5.0,mb,,us,,"27km SSE of L'Esperance Rock, New Zealand",0.78,385,",us,",reviewed,1559154112558,"M 5.0 - 27km SSE of L'Esperance Rock, New Zealand",0,earthquake,",geoserve,origin,phase-data,",-720,1560458780040,https://earthquake.usgs.gov/earthquakes/eventpage/us70003stl,Feature
163,"[-38.9515, 33.9662, 10]",Point,us60003tmh,,,60003tmh,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us60003tmh&format=geojson,11.534,,51.0,",us60003tmh,",5.1,mb,,us,,Northern Mid-Atlantic Ridge,0.53,400,",us,",reviewed,1559141666215,M 5.1 - Northern Mid-Atlantic Ridge,0,earthquake,",geoserve,origin,phase-data,",-180,1560928433040,https://earthquake.usgs.gov/earthquakes/eventpage/us60003tmh,Feature
164,"[93.767, 6.3225, 35]",Point,us70003wcs,,,70003wcs,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us70003wcs&format=geojson,3.345,,190.0,",us70003wcs,",5.0,mb,,us,,"178km WNW of Sabang, Indonesia",0.64,385,",us,",reviewed,1559094186336,"M 5.0 - 178km WNW of Sabang, Indonesia",0,earthquake,",geoserve,origin,phase-data,",360,1562707233040,https://earthquake.usgs.gov/earthquakes/eventpage/us70003wcs,Feature
165,"[-27.7782, -56.3368, 115.32]",Point,us60003sv9,green,,60003sv9,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us60003sv9&format=geojson,5.383,,21.0,",us60003sv9,",5.7,mww,3.942,us,,"53km NW of Visokoi Island, South Georgia and the South Sandwich Islands",0.84,500,",us,",reviewed,1558999772371,"M 5.7 - 53km NW of Visokoi Island, South Georgia and the South Sandwich Islands",0,earthquake,",geoserve,losspager,moment-tensor,origin,phase-data,shakemap,",-120,1562019632940,https://earthquake.usgs.gov/earthquakes/eventpage/us60003sv9,Feature
166,"[152.8885, -4.6415, 57.53]",Point,us60003sp3,,,60003sp3,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us60003sp3&format=geojson,0.849,,36.0,",us60003sp3,",5.0,mb,,us,,"25km SW of Taron, Papua New Guinea",0.88,385,",us,",reviewed,1558952060477,"M 5.0 - 25km SW of Taron, Papua New Guinea",1,earthquake,",geoserve,origin,phase-data,",600,1561557687040,https://earthquake.usgs.gov/earthquakes/eventpage/us60003sp3,Feature
167,"[-152.3581, 58.8565, 64]",Point,ak0196r9o3rq,green,5.3,0196r9o3rq,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0196r9o3rq&format=geojson,,1210.0,,",at00ps5q39,ak0196r9o3rq,us60003sns,",5.8,ml,4.71,ak,,"97km SSW of Homer, Alaska",0.9,1048,",at,ak,us,",reviewed,1558950741782,"M 5.8 - 97km SSW of Homer, Alaska",1,earthquake,",dyfi,geoserve,ground-failure,impact-link,impact-text,losspager,moment-tensor,origin,phase-data,shakemap,",-600,1562893437040,https://earthquake.usgs.gov/earthquakes/eventpage/ak0196r9o3rq,Feature
