name_model,description,owner,price,license,published_date,formats_available,list_categories,links_categories,list_tags,links_tags
Art vase ,A vase I created for a scene a while back! I I hope you guys enjoy it!,VectorInc,Free, - All Extended Uses,2019-05-30,Unknown,"['3D Model', 'interior design', 'housewares', 'general decor', 'vase']","['https://www.turbosquid.com/Search/3d-models', 'https://www.turbosquid.com/3d-model/interior-design', 'https://www.turbosquid.com/3d-model/housewares', 'https://www.turbosquid.com/3d-model/general-decor', 'https://www.turbosquid.com/3d-model/vase']","['Vase', 'Art', 'Decoration', 'Decor', 'Furnishing']","['https://www.turbosquid.com/Search/3D-Models/vase', 'https://www.turbosquid.com/Search/3D-Models/art', 'https://www.turbosquid.com/Search/3D-Models/decoration', 'https://www.turbosquid.com/Search/3D-Models/decor', 'https://www.turbosquid.com/Search/3D-Models/furnishing']"
Picnic table ,"This is a low-poly, game ready, pbr, prop. This is a picnic table that is good for outdoor park scenes. The object sits on the ground plane at the origin (0,0,0). Includes fbx and obj file formats. All textures are 2048x2048 png files.",thatsruddiculous,Free, - All Extended Uses,2019-05-29,"['FBX ', 'OBJ ', 'Other ']","['3D Model', 'furnishings', 'table', 'picnic table']","['https://www.turbosquid.com/Search/3d-models', 'https://www.turbosquid.com/3d-model/furnishings', 'https://www.turbosquid.com/3d-model/table', 'https://www.turbosquid.com/3d-model/picnic-table']","['picnic', 'table', 'park', 'exterior', 'furniture', 'wood', 'wooden', 'metal', 'public', 'bench']","['https://www.turbosquid.com/Search/3D-Models/picnic', 'https://www.turbosquid.com/Search/3D-Models/table', 'https://www.turbosquid.com/Search/3D-Models/park', 'https://www.turbosquid.com/Search/3D-Models/exterior', 'https://www.turbosquid.com/Search/3D-Models/furniture', 'https://www.turbosquid.com/Search/3D-Models/wood', 'https://www.turbosquid.com/Search/3D-Models/wooden', 'https://www.turbosquid.com/Search/3D-Models/metal', 'https://www.turbosquid.com/Search/3D-Models/public', 'https://www.turbosquid.com/Search/3D-Models/bench']"
Garbage bag ,"This is a low-poly, game ready, pbr, prop. This is a trash bag that is good for outdoor scenes next to dumpsters, or indoor a very messy or abandoned house. Includes fbx and obj file formats. All textures are 2048x2048 png files.",thatsruddiculous,Free, - All Extended Uses,2019-05-29,"['FBX ', 'OBJ ', 'Other ']","['3D Model', 'industrial', 'industrial container', 'bag', 'garbage bag']","['https://www.turbosquid.com/Search/3d-models', 'https://www.turbosquid.com/3d-model/industrial', 'https://www.turbosquid.com/3d-model/industrial-container', 'https://www.turbosquid.com/3d-model/bag', 'https://www.turbosquid.com/3d-model/garbage-bag']","['bag', 'garbage', 'trash', 'refuse', 'sack']","['https://www.turbosquid.com/Search/3D-Models/bag', 'https://www.turbosquid.com/Search/3D-Models/garbage', 'https://www.turbosquid.com/Search/3D-Models/trash', 'https://www.turbosquid.com/Search/3D-Models/refuse', 'https://www.turbosquid.com/Search/3D-Models/sack']"
Wooden crate,"This is a game-ready pbr wooden crate. It is very low poly and ready for any project. The object sits on the ground plane at the origin (0,0,0). All textures are 2048x2048 png format. Includes fbx and obj files.",thatsruddiculous,Free, - All Extended Uses,2019-05-29,"['FBX ', 'OBJ ', 'Other ']","['3D Model', 'industrial', 'industrial container', 'crate']","['https://www.turbosquid.com/Search/3d-models', 'https://www.turbosquid.com/3d-model/industrial', 'https://www.turbosquid.com/3d-model/industrial-container', 'https://www.turbosquid.com/3d-model/crate']","['crate', 'wooden', 'shipping', 'container', 'wood', 'box', 'ship', 'contain', 'cube']","['https://www.turbosquid.com/Search/3D-Models/crate', 'https://www.turbosquid.com/Search/3D-Models/wooden', 'https://www.turbosquid.com/Search/3D-Models/shipping', 'https://www.turbosquid.com/Search/3D-Models/container', 'https://www.turbosquid.com/Search/3D-Models/wood', 'https://www.turbosquid.com/Search/3D-Models/box', 'https://www.turbosquid.com/Search/3D-Models/ship', 'https://www.turbosquid.com/Search/3D-Models/contain', 'https://www.turbosquid.com/Search/3D-Models/cube']"
Living room photo - sketchup 2018 and vray next,"LIVING ROOM IN SKETCHUP 2018, RENDER WITH VRAY NEXT",DesignerHugoGonzales,Free, - All Extended Uses,2019-05-28,Unknown,"['3D Model', 'interior design', 'interior', 'residential spaces', 'living room']","['https://www.turbosquid.com/Search/3d-models', 'https://www.turbosquid.com/3d-model/interior-design', 'https://www.turbosquid.com/3d-model/interior', 'https://www.turbosquid.com/3d-model/residential-spaces', 'https://www.turbosquid.com/3d-model/living-room']","['SKETCHUP', '2018', 'AND', 'VRAY', 'NEXT', 'READY', 'MODEL', 'LIVING', 'ROOM', 'PHOTO']","['https://www.turbosquid.com/Search/3D-Models/sketchup', 'https://www.turbosquid.com/Search/3D-Models/2018', 'https://www.turbosquid.com/Search/3D-Models/and', 'https://www.turbosquid.com/Search/3D-Models/vray', 'https://www.turbosquid.com/Search/3D-Models/next', 'https://www.turbosquid.com/Search/3D-Models/ready', 'https://www.turbosquid.com/Search/3D-Models/model', 'https://www.turbosquid.com/Search/3D-Models/living', 'https://www.turbosquid.com/Search/3D-Models/room', 'https://www.turbosquid.com/Search/3D-Models/photo']"
Captain marve - victorie ,Captain Marve from Avengers movie with Victorie Heaven czech model,bewolf56,Free, - Editorial Uses Only,2019-05-28,['FBX '],"['3D Model', 'characters', 'superhero']","['https://www.turbosquid.com/Search/3d-models', 'https://www.turbosquid.com/3d-model/character', 'https://www.turbosquid.com/3d-model/superhero']","['captain', 'marve', 'victorie', 'heaven', 'avengers', 'blonde', 'heroine', 'czech', 'model', 'superhero']","['https://www.turbosquid.com/Search/3D-Models/captain', 'https://www.turbosquid.com/Search/3D-Models/marve', 'https://www.turbosquid.com/Search/3D-Models/victorie', 'https://www.turbosquid.com/Search/3D-Models/heaven', 'https://www.turbosquid.com/Search/3D-Models/avengers', 'https://www.turbosquid.com/Search/3D-Models/blonde', 'https://www.turbosquid.com/Search/3D-Models/heroine', 'https://www.turbosquid.com/Search/3D-Models/czech', 'https://www.turbosquid.com/Search/3D-Models/model', 'https://www.turbosquid.com/Search/3D-Models/superhero']"
Greek sword ,sword of Greek inspiration:This model was created on the blender software and the PBR material addon. It's a highpoly model.Files Formates:-blender (.blend) -Fbx (.fbx) -Wavefront (.obj) -collada (.dae) -alembic (.abc) -3D Studio (.3ds) -Standford (.ply) -X3d Extensible 3D (.x3d) -Stl (.stl)Hope you like it.If you like my work do not hesitate to share my content and come see my other creations on my profile !,guitcho,Free, - All Extended Uses,2019-05-28,"['FBX ', 'OBJ ']","['3D Model', 'weaponry', 'weapons', 'bladed weapon', 'sword', 'gladius']","['https://www.turbosquid.com/Search/3d-models', 'https://www.turbosquid.com/3d-model/weaponry', 'https://www.turbosquid.com/3d-model/weapons', 'https://www.turbosquid.com/3d-model/bladed-weapon', 'https://www.turbosquid.com/3d-model/sword', 'https://www.turbosquid.com/3d-model/gladius']","['greek', 'armor', 'protection', 'soldier', 'warrior', 'roman', 'legionary', '3d', 'model', 'medieval', 'military', 'sword', 'knight', 'bladed', 'weapon', 'melee']","['https://www.turbosquid.com/Search/3D-Models/greek', 'https://www.turbosquid.com/Search/3D-Models/armor', 'https://www.turbosquid.com/Search/3D-Models/protection', 'https://www.turbosquid.com/Search/3D-Models/soldier', 'https://www.turbosquid.com/Search/3D-Models/warrior', 'https://www.turbosquid.com/Search/3D-Models/roman', 'https://www.turbosquid.com/Search/3D-Models/legionary', 'https://www.turbosquid.com/Search/3D-Models/3d', 'https://www.turbosquid.com/Search/3D-Models/model', 'https://www.turbosquid.com/Search/3D-Models/medieval', 'https://www.turbosquid.com/Search/3D-Models/military', 'https://www.turbosquid.com/Search/3D-Models/sword', 'https://www.turbosquid.com/Search/3D-Models/knight', 'https://www.turbosquid.com/Search/3D-Models/bladed', 'https://www.turbosquid.com/Search/3D-Models/weapon', 'https://www.turbosquid.com/Search/3D-Models/melee']"
Asteroids pack ,This is pack of 4 asteroids for your projectasteroid 1 - 47432 facesasteroid 2 - 38084 facesasteroid 3 - 53392 facesasteroid 4 - 10084 facesvideo presentation of this pack you can found in my YoutUbe channel: Mykhailo Ohorodnichuk,Mykhailo Ohorodnichuk,Free, - All Extended Uses,2019-05-28,Unknown,"['3D Model', 'science', 'astronomy', 'asteroid']","['https://www.turbosquid.com/Search/3d-models', 'https://www.turbosquid.com/3d-model/science', 'https://www.turbosquid.com/3d-model/astronomy', 'https://www.turbosquid.com/3d-model/asteroid']","['3D', 'model', 'Science', 'Astronomy', 'Asteroids', 'SGI', 'Animation', 'Space', 'Meteor', 'Traditional', 'Game', 'art', 'aerolite']","['https://www.turbosquid.com/Search/3D-Models/3d', 'https://www.turbosquid.com/Search/3D-Models/model', 'https://www.turbosquid.com/Search/3D-Models/science', 'https://www.turbosquid.com/Search/3D-Models/astronomy', 'https://www.turbosquid.com/Search/3D-Models/asteroids', 'https://www.turbosquid.com/Search/3D-Models/sgi', 'https://www.turbosquid.com/Search/3D-Models/animation', 'https://www.turbosquid.com/Search/3D-Models/space', 'https://www.turbosquid.com/Search/3D-Models/meteor', 'https://www.turbosquid.com/Search/3D-Models/traditional', 'https://www.turbosquid.com/Search/3D-Models/game', 'https://www.turbosquid.com/Search/3D-Models/art', 'https://www.turbosquid.com/Search/3D-Models/aerolite']"
Scissor ,"This is blender made 3D Scissor Model, that's free to use in your animations and games as well. The model is rigged and well topologised. The textures used are available as packed images which includes the skydome as well. Th material is derived from Principled BSDF Shader of Blender Cycles. Also the polish mask is available for distinguishing between the polished surfaces. At last, use this and give your views.",Devansh Kaushik,Free, - All Extended Uses,2019-05-28,"['Collada ', 'FBX ', '3D Studio']","['3D Model', 'industrial', 'tools', 'cutting tools', 'scissors']","['https://www.turbosquid.com/Search/3d-models', 'https://www.turbosquid.com/3d-model/industrial', 'https://www.turbosquid.com/3d-model/tools', 'https://www.turbosquid.com/3d-model/cutting-tools', 'https://www.turbosquid.com/3d-model/scissors']","['blender', '3d', 'scissor', 'scissors', 'cycles', 'metal']","['https://www.turbosquid.com/Search/3D-Models/blender', 'https://www.turbosquid.com/Search/3D-Models/3d', 'https://www.turbosquid.com/Search/3D-Models/scissor', 'https://www.turbosquid.com/Search/3D-Models/scissors', 'https://www.turbosquid.com/Search/3D-Models/cycles', 'https://www.turbosquid.com/Search/3D-Models/metal']"
Food photogrammetry intro pack,"Small Intro Collection of Photogrammetry food. Includes 13 assets, that all come with textures for PBR rendering. Mesh has been retoplogized for low poly rendering including game engines.  Archived pack into a single .rar each asset is .OBJ format.Looking to develop collections photogrammetry products aimed at small studios/freelancers. Scanned and modeled to a high quality. Future packs will contain more assets. Please get in touch if there are any assets you would like to be included.",jdbensonCG,Free, - All Extended Uses,2019-05-28,['Other 001'],"['3D Model', 'food and drink', 'food', 'vegetable', 'root vegetables', 'carrot']","['https://www.turbosquid.com/Search/3d-models', 'https://www.turbosquid.com/3d-model/food-and-drink', 'https://www.turbosquid.com/3d-model/food', 'https://www.turbosquid.com/3d-model/vegetable', 'https://www.turbosquid.com/3d-model/root-vegetables', 'https://www.turbosquid.com/3d-model/carrot']","['photogrammetry', 'food', 'fruit', 'vegetable', 'bread', 'crumpet', 'scan', 'textures', 'lowpoly', 'grapefruit', 'apple', 'pineapple', 'pear', 'lemon', 'seeds', 'carrot', 'garlic', 'onion', 'potato']","['https://www.turbosquid.com/Search/3D-Models/photogrammetry', 'https://www.turbosquid.com/Search/3D-Models/food', 'https://www.turbosquid.com/Search/3D-Models/fruit', 'https://www.turbosquid.com/Search/3D-Models/vegetable', 'https://www.turbosquid.com/Search/3D-Models/bread', 'https://www.turbosquid.com/Search/3D-Models/crumpet', 'https://www.turbosquid.com/Search/3D-Models/scan', 'https://www.turbosquid.com/Search/3D-Models/textures', 'https://www.turbosquid.com/Search/3D-Models/lowpoly', 'https://www.turbosquid.com/Search/3D-Models/grapefruit', 'https://www.turbosquid.com/Search/3D-Models/apple', 'https://www.turbosquid.com/Search/3D-Models/pineapple', 'https://www.turbosquid.com/Search/3D-Models/pear', 'https://www.turbosquid.com/Search/3D-Models/lemon', 'https://www.turbosquid.com/Search/3D-Models/seeds', 'https://www.turbosquid.com/Search/3D-Models/carrot', 'https://www.turbosquid.com/Search/3D-Models/garlic', 'https://www.turbosquid.com/Search/3D-Models/onion', 'https://www.turbosquid.com/Search/3D-Models/potato']"
Treasure chest ,"First 3D object i have made please sned message or comment on how it is. it is FREE. Treasure chest, Medieval (oldish) container put onto your horror/medieval game.Has Animation setup to open!!Also includes the wood texture and Three different metal/Rust materials for you to use. Use just one or All three.!Also has normal's.",creativeslot144,Free, - All Extended Uses,2019-05-27,"['OBJ 1', '1\n', 'FBX 1', '1\n', '3D Studio', '1\n']","['3D Model', 'furnishings', 'chest', 'wooden chest', 'treasure chest']","['https://www.turbosquid.com/Search/3d-models', 'https://www.turbosquid.com/3d-model/furnishings', 'https://www.turbosquid.com/3d-model/chest', 'https://www.turbosquid.com/3d-model/wooden-chest', 'https://www.turbosquid.com/3d-model/treasure-chest']","['treasure', 'chest', 'toy', 'medieval', 'box', 'play', 'game', '3D', 'object', 'old', 'rust', 'metal', 'wood']","['https://www.turbosquid.com/Search/3D-Models/treasure', 'https://www.turbosquid.com/Search/3D-Models/chest', 'https://www.turbosquid.com/Search/3D-Models/toy', 'https://www.turbosquid.com/Search/3D-Models/medieval', 'https://www.turbosquid.com/Search/3D-Models/box', 'https://www.turbosquid.com/Search/3D-Models/play', 'https://www.turbosquid.com/Search/3D-Models/game', 'https://www.turbosquid.com/Search/3D-Models/3d', 'https://www.turbosquid.com/Search/3D-Models/object', 'https://www.turbosquid.com/Search/3D-Models/old', 'https://www.turbosquid.com/Search/3D-Models/rust', 'https://www.turbosquid.com/Search/3D-Models/metal', 'https://www.turbosquid.com/Search/3D-Models/wood']"
Metal paper clip,"Its a high quality and photo real model of a Metal Paper Clip. This will add more value and enhance details to your rendering projects like medical presentation, cinematic, VFX shots etc and games. The model is applied with materials and textures, with very detailed design that allows for close-up renders. This model originally modeled in 3ds MAX 2015 and rendered with Vray 3.20.02 and converted formats are FBX and OBJ.--------------------------------------------Features:- Multiple formats added.- High quality polygonal model, correctly scaled for an accurate representation.-The model properly named, grouped and logically grouped so no confusion when importing several models into a scene also kept in properly named layer.- No cleaning up necessary, just drop your models into the scene or open the given scene and start rendering.- Models resolutions are optimized for polygon efficiency. (In 3ds Max, the Turbosmooth modifier or smoothing modifier in other respective application can be used to increase mesh resolution if necessary.)-All texture colors can be easily modified.-Model does not include any lights, backgrounds or scenes used in preview images but a separate version is added with light setup and HDRI as seen in preview images.--------------------------------------------Polygons: 4224Vertices: 4214--------------------------------------------File Formats:- 3ds Max 2015 Vray 3.20.02- obj- FBX--------------------------------------------Texture sizes areAll textures are 2048*2048--------------------------------------------Model dimension (Unit setup is CM)X- 0.9* Y- 3.02 * Z- 0.19-------------------------------------------Hope you like the model.Please RATE the product if you are satisfied.Also check out my other models, click on my user name to see complete gallery.",3d_ranensinha,Free, - All Extended Uses,2019-05-27,"['FBX 2015', 'OBJ ']","['3D Model', 'office', 'office supplies', 'paper clip']","['https://www.turbosquid.com/Search/3d-models', 'https://www.turbosquid.com/3d-model/office-category', 'https://www.turbosquid.com/3d-model/office-supplies', 'https://www.turbosquid.com/3d-model/paper-clip']","['metal', 'clip', 'fastener', 'gemclip', 'paper', 'paperclip', 'clamp', 'collection', 'set', 'stationery', 'work', 'office', 'desk', 'props', 'realistic', 'photoreal']","['https://www.turbosquid.com/Search/3D-Models/metal', 'https://www.turbosquid.com/Search/3D-Models/clip', 'https://www.turbosquid.com/Search/3D-Models/fastener', 'https://www.turbosquid.com/Search/3D-Models/gemclip', 'https://www.turbosquid.com/Search/3D-Models/paper', 'https://www.turbosquid.com/Search/3D-Models/paperclip', 'https://www.turbosquid.com/Search/3D-Models/clamp', 'https://www.turbosquid.com/Search/3D-Models/collection', 'https://www.turbosquid.com/Search/3D-Models/set', 'https://www.turbosquid.com/Search/3D-Models/stationery', 'https://www.turbosquid.com/Search/3D-Models/work', 'https://www.turbosquid.com/Search/3D-Models/office', 'https://www.turbosquid.com/Search/3D-Models/desk', 'https://www.turbosquid.com/Search/3D-Models/props', 'https://www.turbosquid.com/Search/3D-Models/realistic', 'https://www.turbosquid.com/Search/3D-Models/photoreal']"
Z chair,z-chair designed by Oleksii Karman. litewheight and unwrapped texture.,mohsen_ga,Free, - All Extended Uses,2019-05-25,Unknown,"['3D Model', 'furnishings', 'seating', 'chair', 'stool', 'bar stool']","['https://www.turbosquid.com/Search/3d-models', 'https://www.turbosquid.com/3d-model/furnishings', 'https://www.turbosquid.com/3d-model/seating', 'https://www.turbosquid.com/3d-model/chair', 'https://www.turbosquid.com/3d-model/stool', 'https://www.turbosquid.com/3d-model/bar-stool']",['chair'],['https://www.turbosquid.com/Search/3D-Models/chair']
Lpipe ,This is a free sample from 'Pipe pack vol.1'. Go to my profile and check out the rest.,Huge Wild Cube,Free, - All Extended Uses,2019-05-25,"['FBX ', 'OBJ ']","['3D Model', 'architecture', 'building components', 'plumbing equipment', 'plumbing pipe']","['https://www.turbosquid.com/Search/3d-models', 'https://www.turbosquid.com/3d-model/architecture', 'https://www.turbosquid.com/3d-model/building-components', 'https://www.turbosquid.com/3d-model/plumbing-equipment', 'https://www.turbosquid.com/3d-model/pipe-plumbing']","['pipe', 'props', 'set', 'collection', 'water', 'oil', 'gas', 'lowpoly', 'joint', 'link', 'tube', 'industry', 'factory', 'power', 'plant', 'machine', 'petrol', 'system', 'Sewage', 'pack', 'free']","['https://www.turbosquid.com/Search/3D-Models/pipe', 'https://www.turbosquid.com/Search/3D-Models/props', 'https://www.turbosquid.com/Search/3D-Models/set', 'https://www.turbosquid.com/Search/3D-Models/collection', 'https://www.turbosquid.com/Search/3D-Models/water', 'https://www.turbosquid.com/Search/3D-Models/oil', 'https://www.turbosquid.com/Search/3D-Models/gas', 'https://www.turbosquid.com/Search/3D-Models/lowpoly', 'https://www.turbosquid.com/Search/3D-Models/joint', 'https://www.turbosquid.com/Search/3D-Models/link', 'https://www.turbosquid.com/Search/3D-Models/tube', 'https://www.turbosquid.com/Search/3D-Models/industry', 'https://www.turbosquid.com/Search/3D-Models/factory', 'https://www.turbosquid.com/Search/3D-Models/power', 'https://www.turbosquid.com/Search/3D-Models/plant', 'https://www.turbosquid.com/Search/3D-Models/machine', 'https://www.turbosquid.com/Search/3D-Models/petrol', 'https://www.turbosquid.com/Search/3D-Models/system', 'https://www.turbosquid.com/Search/3D-Models/sewage', 'https://www.turbosquid.com/Search/3D-Models/pack', 'https://www.turbosquid.com/Search/3D-Models/free']"
Office set ,"an office with items included such as an office chair with 2 guest chairs, a trophy, picture frame, a mug and exterior walls with a door and a floor.",desmundo,Free, - All Extended Uses,2019-05-24,['OBJ '],"['3D Model', 'furnishings', 'desk']","['https://www.turbosquid.com/Search/3d-models', 'https://www.turbosquid.com/3d-model/furnishings', 'https://www.turbosquid.com/3d-model/desk']","['office', 'set', 'desk', 'mug', 'guest', 'rolling', 'chair', 'frame', 'picture', 'trophy']","['https://www.turbosquid.com/Search/3D-Models/office', 'https://www.turbosquid.com/Search/3D-Models/set', 'https://www.turbosquid.com/Search/3D-Models/desk', 'https://www.turbosquid.com/Search/3D-Models/mug', 'https://www.turbosquid.com/Search/3D-Models/guest', 'https://www.turbosquid.com/Search/3D-Models/rolling', 'https://www.turbosquid.com/Search/3D-Models/chair', 'https://www.turbosquid.com/Search/3D-Models/frame', 'https://www.turbosquid.com/Search/3D-Models/picture', 'https://www.turbosquid.com/Search/3D-Models/trophy']"
Sexy elf bath ,"3D Print concept.A sexy elf takes a bath. WoW style. Whole model. Included .ztl, .obj and .stl formats. Enjoy! ;)",Predteck,Free, - All Extended Uses,2019-05-24,"['Other ', 'OBJ ', 'STL ']","['3D Model', 'art', 'sculpture', 'statue', 'woman statue']","['https://www.turbosquid.com/Search/3d-models', 'https://www.turbosquid.com/3d-model/art', 'https://www.turbosquid.com/3d-model/sculpture', 'https://www.turbosquid.com/3d-model/statue', 'https://www.turbosquid.com/3d-model/woman-statue']","['woman', 'nude', 'naughty', 'erotic', 'wow', '3dprint']","['https://www.turbosquid.com/Search/3D-Models/woman', 'https://www.turbosquid.com/Search/3D-Models/nude', 'https://www.turbosquid.com/Search/3D-Models/naughty', 'https://www.turbosquid.com/Search/3D-Models/erotic', 'https://www.turbosquid.com/Search/3D-Models/wow', 'https://www.turbosquid.com/Search/3D-Models/3dprint']"
Deer skull ,"3D model of deer skull with diffuse, specular, normal, occlusion and displacement maps. 6160 polygons.",leon017,Free, - All Extended Uses,2019-05-24,"['3D Studio', 'FBX 2018', 'OBJ ']","['3D Model', 'nature', 'animal', 'animal anatomy', 'animal skeleton', 'animal skull', 'deer skull']","['https://www.turbosquid.com/Search/3d-models', 'https://www.turbosquid.com/3d-model/nature', 'https://www.turbosquid.com/3d-model/animal', 'https://www.turbosquid.com/3d-model/animal-anatomy', 'https://www.turbosquid.com/3d-model/animal-skeleton', 'https://www.turbosquid.com/3d-model/animal-skull', 'https://www.turbosquid.com/3d-model/deer-skull']","['deer', 'skull', 'bones', 'skeleton', 'wildlife', 'anatomy', 'dead', 'hunting', 'horns', 'moose', 'forest', 'nature']","['https://www.turbosquid.com/Search/3D-Models/deer', 'https://www.turbosquid.com/Search/3D-Models/skull', 'https://www.turbosquid.com/Search/3D-Models/bones', 'https://www.turbosquid.com/Search/3D-Models/skeleton', 'https://www.turbosquid.com/Search/3D-Models/wildlife', 'https://www.turbosquid.com/Search/3D-Models/anatomy', 'https://www.turbosquid.com/Search/3D-Models/dead', 'https://www.turbosquid.com/Search/3D-Models/hunting', 'https://www.turbosquid.com/Search/3D-Models/horns', 'https://www.turbosquid.com/Search/3D-Models/moose', 'https://www.turbosquid.com/Search/3D-Models/forest', 'https://www.turbosquid.com/Search/3D-Models/nature']"
Cartoon low poly starfish illustration,"- Cartoon Low Poly Starfish 3d Illustration- Created on Cinema 4d R17- 3814  Polygons- Procedural Textured- Game Ready, VR Ready",Anton Moek,Free, - All Extended Uses,2019-05-24,"['3D Studio', 'FBX ', 'Other ', 'OBJ ', 'STL ']","['3D Model', 'nature', 'animal', 'sea creatures', 'sea star', 'cartoon starfish']","['https://www.turbosquid.com/Search/3d-models', 'https://www.turbosquid.com/3d-model/nature', 'https://www.turbosquid.com/3d-model/animal', 'https://www.turbosquid.com/3d-model/sea-creatures', 'https://www.turbosquid.com/3d-model/sea-star', 'https://www.turbosquid.com/3d-model/cartoon-starfish']","['cartoon', 'low', 'poly', 'illustration', 'art', 'simple', 'free', 'download', 'starfish', 'lowpoly', 'low-poly', 'antonmoek', 'sea', 'seaweed', 'water', 'game', 'design', 'ar', 'vr', 'browser', 'cinema4d']","['https://www.turbosquid.com/Search/3D-Models/cartoon', 'https://www.turbosquid.com/Search/3D-Models/low', 'https://www.turbosquid.com/Search/3D-Models/poly', 'https://www.turbosquid.com/Search/3D-Models/illustration', 'https://www.turbosquid.com/Search/3D-Models/art', 'https://www.turbosquid.com/Search/3D-Models/simple', 'https://www.turbosquid.com/Search/3D-Models/free', 'https://www.turbosquid.com/Search/3D-Models/download', 'https://www.turbosquid.com/Search/3D-Models/starfish', 'https://www.turbosquid.com/Search/3D-Models/lowpoly', 'https://www.turbosquid.com/Search/3D-Models/low-poly', 'https://www.turbosquid.com/Search/3D-Models/antonmoek', 'https://www.turbosquid.com/Search/3D-Models/sea', 'https://www.turbosquid.com/Search/3D-Models/seaweed', 'https://www.turbosquid.com/Search/3D-Models/water', 'https://www.turbosquid.com/Search/3D-Models/game', 'https://www.turbosquid.com/Search/3D-Models/design', 'https://www.turbosquid.com/Search/3D-Models/ar', 'https://www.turbosquid.com/Search/3D-Models/vr', 'https://www.turbosquid.com/Search/3D-Models/browser', 'https://www.turbosquid.com/Search/3D-Models/cinema4d']"
Realistic glass table,Free for u,Bang Moron,Free, - All Extended Uses,2019-05-23,"['Other ', '3D Studio', 'FBX ', 'Collada ', 'OBJ ']","['3D Model', 'furnishings', 'table', 'glass table']","['https://www.turbosquid.com/Search/3d-models', 'https://www.turbosquid.com/3d-model/furnishings', 'https://www.turbosquid.com/3d-model/table', 'https://www.turbosquid.com/3d-model/glass-table']","['Furniture', 'Table', 'Glass', 'Realistic']","['https://www.turbosquid.com/Search/3D-Models/furniture', 'https://www.turbosquid.com/Search/3D-Models/table', 'https://www.turbosquid.com/Search/3D-Models/glass', 'https://www.turbosquid.com/Search/3D-Models/realistic']"
Simple ring ,"A simple diamond ring.Three variants of precious metal and four colors of stones. The model is suitable for creating separate parts of the interior, as well as an independent element.To create a model used 3dsMax2018 version 20.0.0.966 compatible with 2014With anti-aliasing:points 43083polygons 52281physical volume 4072.0 mvirtual volume 5481.4 mThe scene contains 33 objects As part of the archive set of textures 6 PCs., including:blue diamond.jpggreen_diamond.jpgred diamond.jpgwhite diamond.jpgmetal.jpgand Files:preview1_Simple_ring_with_diamond.jpgpreview2_Simple_ring_with_diamond.jpgpreview3_Simple_ring_with_diamond.jpgGrid_Simple_ring_with_diamond.jpgSimple_ring_with_diamond_fbxSimple_ring_with_diamond_objSimple_ring_with_diamond_3D Max",Diversantka,Free, - All Extended Uses,2019-05-23,"['FBX 2012', '2018\n', 'OBJ 2014', '2018\n']","['3D Model', 'fashion and beauty', 'apparel', 'jewelry', 'ring', 'diamond ring']","['https://www.turbosquid.com/Search/3d-models', 'https://www.turbosquid.com/3d-model/fashion-and-beauty', 'https://www.turbosquid.com/3d-model/apparel', 'https://www.turbosquid.com/3d-model/jewelry', 'https://www.turbosquid.com/3d-model/ring', 'https://www.turbosquid.com/3d-model/diamond-ring']","['ring', 'gold', 'silver', 'diamond', 'brilliant', 'set', '3D', 'Model', 'fashion', 'and', 'beauty', 'jewelry', 'platinum', 'decorative']","['https://www.turbosquid.com/Search/3D-Models/ring', 'https://www.turbosquid.com/Search/3D-Models/gold', 'https://www.turbosquid.com/Search/3D-Models/silver', 'https://www.turbosquid.com/Search/3D-Models/diamond', 'https://www.turbosquid.com/Search/3D-Models/brilliant', 'https://www.turbosquid.com/Search/3D-Models/set', 'https://www.turbosquid.com/Search/3D-Models/3d', 'https://www.turbosquid.com/Search/3D-Models/model', 'https://www.turbosquid.com/Search/3D-Models/fashion', 'https://www.turbosquid.com/Search/3D-Models/and', 'https://www.turbosquid.com/Search/3D-Models/beauty', 'https://www.turbosquid.com/Search/3D-Models/jewelry', 'https://www.turbosquid.com/Search/3D-Models/platinum', 'https://www.turbosquid.com/Search/3D-Models/decorative']"
