aliases,allegiances,books,born,culture,died,father,gender,mother,name,playedBy,povBooks,spouse,titles,tvSeries,url
['Deaf Dick Follard'],[],['https://www.anapioficeandfire.com/api/books/3'],,,"In 299 AC, at Castle Black",,Male,,Dick Follard,[''],[],,['Has no title'],[''],https://www.anapioficeandfire.com/api/characters/310
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/143'],"['https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5']",In 294 AC,,,,Male,,Dickon Frey,[''],[],,['Has no title'],[''],https://www.anapioficeandfire.com/api/characters/311
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/257'],"['https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5']",,,,,Male,,Dickon Manwoody,[''],[],,['Has no title'],[''],https://www.anapioficeandfire.com/api/characters/312
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/379'],"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",In or between 287 AC and 290 AC,,,,Male,,Dickon Tarly,['Freddie Stroma'],[],https://www.anapioficeandfire.com/api/characters/359,['Has no title'],['Season 6'],https://www.anapioficeandfire.com/api/characters/313
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/34'],"['https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",In or between 279 AC and 281 AC (roughly),,In 297 AC,,Male,,Domeric Bolton,[''],[],,['Has no title'],[''],https://www.anapioficeandfire.com/api/characters/314
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/17'],"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",In or between 244 AC and 252 AC,,"In 300 AC, at The Wall, near Castle Black",,Male,,Donal Noye,[''],[],,['Has no title'],[''],https://www.anapioficeandfire.com/api/characters/315
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/169'],['https://www.anapioficeandfire.com/api/books/5'],,Ironborn,,,Male,,Donel Greyjoy,[''],[],,['Has no title'],[''],https://www.anapioficeandfire.com/api/characters/316
['Has no known aliases'],"['https://www.anapioficeandfire.com/api/houses/202', 'https://www.anapioficeandfire.com/api/houses/255']","['https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/8']",In or before 249 AC,Northmen,"In 299 AC, at Hornwood",,Female,,Donella Hornwood,[''],[],https://www.anapioficeandfire.com/api/characters/463,['Lady of Hornwood'],[''],https://www.anapioficeandfire.com/api/characters/317
['Has no known aliases'],[],"['https://www.anapioficeandfire.com/api/books/4', 'https://www.anapioficeandfire.com/api/books/5']",,,,,Male,,Donnel,[''],[],,['Ser'],[''],https://www.anapioficeandfire.com/api/characters/318
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/106'],['https://www.anapioficeandfire.com/api/books/5'],,Ironborn,,,Male,,Donnel Drumm,[''],[],,['Has no title'],[''],https://www.anapioficeandfire.com/api/characters/319
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/172'],"['https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5']",In or between 255 AC and 282 AC,,,,Male,,Donnel Haigh,[''],[],,['Ser'],[''],https://www.anapioficeandfire.com/api/characters/320
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/239'],"['https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5']",,,"In 299 AC, at the Twins",,Male,,Donnel Locke,[''],[],,['Ser'],[''],https://www.anapioficeandfire.com/api/characters/321
['Ser Donnel the Constant'],['https://www.anapioficeandfire.com/api/houses/373'],"['https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3']",,Stormlands,,,Male,,Donnel Swann,[''],[],,['Ser'],[''],https://www.anapioficeandfire.com/api/characters/322
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/336'],"['https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",,Ironborn,,,Male,,Donnor Saltcliffe,[''],[],,['Lord'],[''],https://www.anapioficeandfire.com/api/characters/323
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/362'],"['https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/11']",,Northmen,,,Male,,Donnor Stark,[''],[],,"['Lord of Winterfell', 'Warden of the North']",[''],https://www.anapioficeandfire.com/api/characters/324
"['Dontos the Red', 'Dontos the Drunk', 'Florian']",['https://www.anapioficeandfire.com/api/houses/198'],"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5']","In or between 261 AC and 263 AC, at near Duskendale",,"In 300 AC, at Blackwater Bay",,Male,,Dontos Hollard,['Tony Way'],[],,['Ser'],"['Season 2', 'Season 4']",https://www.anapioficeandfire.com/api/characters/325
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/285'],"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']","In 247 AC or 248 AC, at Sunspear",Dornish,,,Male,,Doran Martell,['Alexander Siddig'],[],https://www.anapioficeandfire.com/api/characters/1697,['Prince of Dorne'],"['Season 5', 'Season 6']",https://www.anapioficeandfire.com/api/characters/326
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/374'],"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",,,,,Female,,Dorna Swyft,[''],[],https://www.anapioficeandfire.com/api/characters/605,['Has no title'],[''],https://www.anapioficeandfire.com/api/characters/327
['Has no known aliases'],[],['https://www.anapioficeandfire.com/api/books/2'],,Northmen,,,Male,,Dorren Stark,[''],[],,['King in the North'],[''],https://www.anapioficeandfire.com/api/characters/328
"['Dunk', 'Duncan the Tall', 'Dunk the Lunk', 'Ser Giant', 'The Gallows Knight']",[],"['https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8', 'https://www.anapioficeandfire.com/api/books/11']","In 191 AC, 192 AC or 193 AC, at King's Landing",,"In 259 AC, at Summerhall",,Male,,Duncan,[''],"['https://www.anapioficeandfire.com/api/books/4', 'https://www.anapioficeandfire.com/api/books/6', 'https://www.anapioficeandfire.com/api/books/7']",,"['Ser', 'Lord Commander of the Kingsguard']",[''],https://www.anapioficeandfire.com/api/characters/329
"['Prince Duncan the Small', 'Prince of Dragonflies']",['https://www.anapioficeandfire.com/api/houses/378'],"['https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8', 'https://www.anapioficeandfire.com/api/books/11']",In or between 220 AC and 224 AC,,"In 259 AC, at Summerhall",,Male,,Duncan Targaryen,[''],[],https://www.anapioficeandfire.com/api/characters/1539,['Prince'],[''],https://www.anapioficeandfire.com/api/characters/330
"['The Drumm', 'The Bone Hand']",['https://www.anapioficeandfire.com/api/houses/106'],"['https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']","In 212 AC or later, at Old Wyk",Ironborn,,,Male,,Dunstan Drumm,[''],[],,"['Lord of Old Wyk', 'Captain of the Thunderer']",[''],https://www.anapioficeandfire.com/api/characters/331
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/14'],"['https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5']",In 284 AC,,,,Male,,Duram Bar Emmon,[''],[],,['Lord of Sharp Point'],[''],https://www.anapioficeandfire.com/api/characters/332
"['Durran Godsgrief', 'The Godsgrief', 'King of a Thousand Years']",[],"['https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/11']",Age of Heroes,First Men,,,Male,,Durran,[''],[],https://www.anapioficeandfire.com/api/characters/1361,['Storm King'],[''],https://www.anapioficeandfire.com/api/characters/333
['Has no known aliases'],"['https://www.anapioficeandfire.com/api/houses/99', 'https://www.anapioficeandfire.com/api/houses/378']",['https://www.anapioficeandfire.com/api/books/11'],,,In or between 201 AC and 209 AC,,Female,,Dyanna Dayne,[''],[],https://www.anapioficeandfire.com/api/characters/695,['Lady'],[''],https://www.anapioficeandfire.com/api/characters/334
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/178'],['https://www.anapioficeandfire.com/api/books/2'],,,"In 299 AC, at Winterfell",,Male,,Dykk Harlaw,[''],[],,['Has no title'],[''],https://www.anapioficeandfire.com/api/characters/335
['Has no known aliases'],[],"['https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",,,"In 299 AC, at Skirling Pass",,Male,,Ebben,[''],[],,['Has no title'],[''],https://www.anapioficeandfire.com/api/characters/336
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/376'],"['https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",In 289 AC or 290 AC,Northmen,,,Female,,Eddara Tallhart,[''],[],,"[""Lady of Torrhen's Square""]",[''],https://www.anapioficeandfire.com/api/characters/337
['Edd'],['https://www.anapioficeandfire.com/api/houses/215'],"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",At Karhold,Northmen,"In 298 AC, at the Whispering Wood",,Male,,Eddard Karstark,[''],[],,['Has no title'],[''],https://www.anapioficeandfire.com/api/characters/338
"['Ned', 'The Ned', 'The Quiet Wolf']",['https://www.anapioficeandfire.com/api/houses/362'],"['https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8', 'https://www.anapioficeandfire.com/api/books/11']","In 263 AC, at Winterfell",Northmen,"In 299 AC, at Great Sept of Baelor in King's Landing",,Male,,Eddard Stark,"['Sean Bean', 'Sebastian Croft', 'Robert Aramayo']",['https://www.anapioficeandfire.com/api/books/1'],https://www.anapioficeandfire.com/api/characters/232,"['Lord of Winterfell', 'Warden of the North', 'Hand of the King', 'Protector of the Realm', 'Regent']","['Season 1', 'Season 6']",https://www.anapioficeandfire.com/api/characters/339
['Ederrion the Bridegroom'],['https://www.anapioficeandfire.com/api/houses/362'],['https://www.anapioficeandfire.com/api/books/2'],,Northmen,,,Male,,Edderion Stark,[''],[],,"['King in the North', 'Lord of Winterfell']",[''],https://www.anapioficeandfire.com/api/characters/340
['Dolorous Edd'],['https://www.anapioficeandfire.com/api/houses/388'],"['https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",,Valemen,,,Male,,Eddison Tollet,['Ben Crompton'],[],,['Has no title'],"['Season 2', 'Season 3', 'Season 4', 'Season 5', 'Season 6']",https://www.anapioficeandfire.com/api/characters/341
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/321'],['https://www.anapioficeandfire.com/api/books/7'],,,,,Male,,Eden Risley,[''],[],,['Ser'],[''],https://www.anapioficeandfire.com/api/characters/342
['Edgerran the Open-Handed'],['https://www.anapioficeandfire.com/api/houses/286'],['https://www.anapioficeandfire.com/api/books/5'],,,,,Male,,Edgerran Oakheart,[''],[],,['Lord'],[''],https://www.anapioficeandfire.com/api/characters/343
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/4'],['https://www.anapioficeandfire.com/api/books/5'],,,,,Male,,Edmund Ambrose,[''],[],,['Ser'],[''],https://www.anapioficeandfire.com/api/characters/344
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/415'],"['https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",,,,,Male,,Edmund Waxley,[''],[],,"['The Knight of Wickenden', 'Ser']",[''],https://www.anapioficeandfire.com/api/characters/345
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/395'],"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",In or between 267 AC and 274 AC,Rivermen,,,Male,,Edmure Tully,['Tobias Menzies'],[],https://www.anapioficeandfire.com/api/characters/937,"['Ser', 'Lord of Riverrun (lost to Emmon Frey)']","['Season 3', 'Season 6']",https://www.anapioficeandfire.com/api/characters/346
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/395'],"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/11']",,Rivermen,,,Male,,Edmyn Tully,[''],[],,"['Lord of Riverrun', 'Lord Paramount of the Trident', 'Hand of the King']",[''],https://www.anapioficeandfire.com/api/characters/347
['Ned'],['https://www.anapioficeandfire.com/api/houses/99'],"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5']","In 287 AC, at Starfall",,,,Male,,Edric Dayne,[''],[],,['Lord of Starfall'],[''],https://www.anapioficeandfire.com/api/characters/348
['Edrick Snowbeard'],['https://www.anapioficeandfire.com/api/houses/362'],"['https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/8', 'https://www.anapioficeandfire.com/api/books/11']",,Northmen,,,Male,,Edrick Stark,[''],[],,"['King in the North', 'Lord of Winterfell']",[''],https://www.anapioficeandfire.com/api/characters/349
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/139'],['https://www.anapioficeandfire.com/api/books/2'],,,"In 299 AC, at Blackwater Rush",,Male,,Edwyd Fossoway,[''],[],,['Ser'],[''],https://www.anapioficeandfire.com/api/characters/350
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/362'],"['https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/11']",,Northmen,,,Male,,Edwyle Stark,[''],[],https://www.anapioficeandfire.com/api/characters/716,"['Lord of Winterfell', 'Warden of the North']",[''],https://www.anapioficeandfire.com/api/characters/351
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/143'],"['https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5']",In or between 259 AC and 278 AC,,,,Male,,Edwyn Frey,[''],[],https://www.anapioficeandfire.com/api/characters/534,['Has no title'],[''],https://www.anapioficeandfire.com/api/characters/352
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/291'],['https://www.anapioficeandfire.com/api/books/6'],,,"In 196 AC, at the Redgrass Field",,Male,,Edwyn Osgrey,[''],[],,['Ser'],[''],https://www.anapioficeandfire.com/api/characters/353
['The Spring King'],['https://www.anapioficeandfire.com/api/houses/362'],['https://www.anapioficeandfire.com/api/books/2'],,Northmen,,,Male,,Edwyn Stark,[''],[],,"['King in the North', 'Lord of Winterfell']",[''],https://www.anapioficeandfire.com/api/characters/354
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/16'],['https://www.anapioficeandfire.com/api/books/5'],,,,,Female,,Eglantine,[''],[],,['Septa'],[''],https://www.anapioficeandfire.com/api/characters/355
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/7'],"['https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/5']",,,"In 282 AC, at King's Landing",,Male,,Elbert Arryn,[''],[],,['Ser'],[''],https://www.anapioficeandfire.com/api/characters/356
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/117'],"['https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",In or between 228 AC and 232 AC,Stormlands,,,Male,,Eldon Estermont,[''],[],https://www.anapioficeandfire.com/api/characters/999,"['Ser', 'Lord of Greenstone']",[''],https://www.anapioficeandfire.com/api/characters/357
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/75'],['https://www.anapioficeandfire.com/api/books/5'],,Ironborn,,,Male,,Eldred Codd,[''],[],,['Has no title'],[''],https://www.anapioficeandfire.com/api/characters/358
['Has no known aliases'],"['https://www.anapioficeandfire.com/api/houses/269', 'https://www.anapioficeandfire.com/api/houses/379']","['https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",In 286 AC or 287 AC,,,,Female,,Eleanor Mooton,[''],[],https://www.anapioficeandfire.com/api/characters/313,['Has no title'],[''],https://www.anapioficeandfire.com/api/characters/359
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/425'],"['https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5']","In 287 AC, at Crag",,,,Female,,Eleyna Westerling,[''],[],,['Has no title'],[''],https://www.anapioficeandfire.com/api/characters/360
['Elia of Dorne'],"['https://www.anapioficeandfire.com/api/houses/285', 'https://www.anapioficeandfire.com/api/houses/378']","['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",In 256 AC or 257 AC,,"In 283 AC, at King's Landing",,Female,,Elia Martell,[''],[],https://www.anapioficeandfire.com/api/characters/867,['Princess'],[''],https://www.anapioficeandfire.com/api/characters/361
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/398'],"['https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",In 286 AC (roughly),,,,Female,,Elinor Tyrell,[''],[],,['Has no title'],[''],https://www.anapioficeandfire.com/api/characters/362
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/229'],['https://www.anapioficeandfire.com/api/books/11'],,,,,Female,,Ella Lannister,[''],[],https://www.anapioficeandfire.com/api/characters/284,['Has no title'],[''],https://www.anapioficeandfire.com/api/characters/363
"[""The serpent's whore""]","['https://www.anapioficeandfire.com/api/houses/285', 'https://www.anapioficeandfire.com/api/houses/400']","['https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",,Dornish,,,Female,,Ellaria Sand,['Indira Varma'],[],https://www.anapioficeandfire.com/api/characters/1770,['Has no title'],"['Season 4', 'Season 5']",https://www.anapioficeandfire.com/api/characters/364
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/404'],"['https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5']",,,,,Male,,Ellery Vance,[''],[],,['Ser'],[''],https://www.anapioficeandfire.com/api/characters/365
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/18'],['https://www.anapioficeandfire.com/api/books/11'],,,,,Female,,Ellyn Ever Sweet,[''],[],,['Has no title'],[''],https://www.anapioficeandfire.com/api/characters/366
['Has no known aliases'],"['https://www.anapioficeandfire.com/api/houses/229', 'https://www.anapioficeandfire.com/api/houses/319', 'https://www.anapioficeandfire.com/api/houses/377']","['https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/11']",At Castamere,,"In 261 AC, at Tarbeck Hall",,Female,,Ellyn Reyne,[''],[],https://www.anapioficeandfire.com/api/characters/1026,['Lady of Tarbeck Hall'],[''],https://www.anapioficeandfire.com/api/characters/367
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/143'],"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",In 290 AC,,,,Male,,Elmar Frey,[''],[],,['Has no title'],[''],https://www.anapioficeandfire.com/api/characters/368
['Has no known aliases'],"['https://www.anapioficeandfire.com/api/houses/15', 'https://www.anapioficeandfire.com/api/houses/261']","['https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",In 278 AC or 279 AC,Reach,,,Male,,Elwood Meadows,[''],[],,['Lord of Grassy Vale'],[''],https://www.anapioficeandfire.com/api/characters/369
['Has no known aliases'],"['https://www.anapioficeandfire.com/api/houses/410', 'https://www.anapioficeandfire.com/api/houses/438']","['https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5']",In or between 264 AC and 282 AC,,,,Female,,Elyana Vypren,[''],[],https://www.anapioficeandfire.com/api/characters/587,['Has no title'],[''],https://www.anapioficeandfire.com/api/characters/370
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/429'],['https://www.anapioficeandfire.com/api/books/2'],,,,,Male,,Elyas Willum,[''],[],,['Has no title'],[''],https://www.anapioficeandfire.com/api/characters/371
['Has no known aliases'],"['https://www.anapioficeandfire.com/api/houses/283', 'https://www.anapioficeandfire.com/api/houses/398']","['https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5']",,,,,Female,,Elyn Norridge,[''],[],https://www.anapioficeandfire.com/api/characters/665,['Has no title'],[''],https://www.anapioficeandfire.com/api/characters/372
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/417'],['https://www.anapioficeandfire.com/api/books/5'],,,,,Male,,Elys Waynwood,[''],[],https://www.anapioficeandfire.com/api/characters/92,['Ser'],[''],https://www.anapioficeandfire.com/api/characters/373
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/425'],['https://www.anapioficeandfire.com/api/books/3'],,,,,Male,,Elys Westerling,[''],[],,['Ser'],[''],https://www.anapioficeandfire.com/api/characters/374
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/143'],"['https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5']",In 296 AC or 297 AC,,,,Female,,Emberlei Frey,[''],[],,['Has no title'],[''],https://www.anapioficeandfire.com/api/characters/375
['Emmon the Yellow'],['https://www.anapioficeandfire.com/api/houses/91'],['https://www.anapioficeandfire.com/api/books/2'],At Sunflower Hall,,"In 299 AC, at near Storm's End",,Male,,Emmon Cuy,[''],[],,['Ser'],[''],https://www.anapioficeandfire.com/api/characters/376
['Emm'],"['https://www.anapioficeandfire.com/api/houses/142', 'https://www.anapioficeandfire.com/api/houses/229']","['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",In 237 AC or 238 AC,,,,Male,,Emmon Frey,[''],[],https://www.anapioficeandfire.com/api/characters/415,['Lord of Riverrun'],[''],https://www.anapioficeandfire.com/api/characters/377
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/405'],['https://www.anapioficeandfire.com/api/books/5'],,,,,Female,,Emphyria Vance,[''],[],,['Has no title'],[''],https://www.anapioficeandfire.com/api/characters/378
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/380'],"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3']",,,"In 299 AC, at Bridge of Skulls",,Male,,Endrew Tarth,[''],[],,['Ser'],[''],https://www.anapioficeandfire.com/api/characters/379
['Old Lord Hunter'],['https://www.anapioficeandfire.com/api/houses/207'],"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",In 220 AC or before (roughly),,In +/- 300 AC,,Male,,Eon Hunter,[''],[],,['Lord of Longbow Hall'],[''],https://www.anapioficeandfire.com/api/characters/380
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/150'],"['https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5']",In 297 AC or 298 AC,Northmen,,,Female,,Erena Glover,[''],[],,['Has no title'],[''],https://www.anapioficeandfire.com/api/characters/381
['Has no known aliases'],"['https://www.anapioficeandfire.com/api/houses/189', 'https://www.anapioficeandfire.com/api/houses/229']","['https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",In 298 AC,,,,Female,,Ermesande Hayford,[''],[],https://www.anapioficeandfire.com/api/characters/1051,['Lady of Hayford'],[''],https://www.anapioficeandfire.com/api/characters/382
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/133'],"['https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5']",,,,,Male,,Erren Florent,[''],[],,['Ser'],[''],https://www.anapioficeandfire.com/api/characters/383
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/150'],"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2']",,Northmen,"In 283 AC, at the Tower of Joy",,Male,,Ethan Glover,[''],[],,['Has no title'],[''],https://www.anapioficeandfire.com/api/characters/384
"[""Crow's Eye"", ""Euron Crow's Eye""]",[],"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",or before 267 AC,Ironborn,,https://www.anapioficeandfire.com/api/characters/836,Male,,Euron Greyjoy,[''],[],,"['Iron King', 'King of the Isles and the North  King of Salt and Rock', 'Son of the Sea Wind', 'Lord Reaper of Pyke', 'Captain of the Silence']",[''],https://www.anapioficeandfire.com/api/characters/385
['Has no known aliases'],[],"['https://www.anapioficeandfire.com/api/books/9', 'https://www.anapioficeandfire.com/api/books/10']",,,,,Male,,Eustace,[''],[],,['Septon'],[''],https://www.anapioficeandfire.com/api/characters/386
['Has no known aliases'],['https://www.anapioficeandfire.com/api/houses/207'],"['https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",,,,,Male,,Eustace Hunter,[''],[],,['Ser'],[''],https://www.anapioficeandfire.com/api/characters/387
